current_x_A,current_y_A,current_z_A,coil_field_x_mG,coil_field_y_mG,coil_field_z_mG,coil_field_norm_mG,final_temperature_uK,cooling_efficiency,mean_field_mG,initial_field_mG,final_field_mG,mean_relative_efficiency,refinement_stage
-0.08333333333333337,0.33333333333333315,-0.08333333333333337,-24.695796260521284,98.78318504208504,-24.695796260521284,104.77539001569579,5.862442010599124,0.8983567891947599,523.7566022446343,7038.646446992381,40.859958405079006,0.7325551962473426,1
-0.07352941176470591,0.33333333333333315,-0.08333333333333337,-21.790408465165836,98.78318504208504,-24.695796260521284,104.12887160187015,5.602517660326637,0.9051969036756148,522.4102945799391,7038.636852779565,39.17238503081451,0.7349772619925774,1
-0.06372549019607845,0.33333333333333315,-0.08333333333333337,-18.88502066981039,98.78318504208504,-24.695796260521284,103.55985711509626,5.373630889953919,0.9112202397380549,521.1654051724164,7038.628457832623,37.633732921712344,0.7371100209383493,1
-0.053921568627451004,0.33333333333333315,-0.08333333333333337,-15.979632874454948,98.78318504208504,-24.695796260521284,103.06963018659934,5.176353594322188,0.9164117475178372,520.0363639883179,7038.621262155845,36.26296340242991,0.738948182133612,1
-0.044117647058823546,0.33333333333333315,-0.08333333333333337,-13.074245079099502,98.78318504208504,-24.695796260521284,102.65931952038426,5.0111825421820715,0.9207583541531035,519.0393780329879,7038.615265752912,35.07976243237641,0.7404871470704166,1
-0.03431372549019609,0.33333333333333315,-0.08333333333333337,-10.168857283744057,98.78318504208504,-24.695796260521284,102.32988643821092,4.878536409934849,0.9242490418438196,518.1924676473438,7038.610468626886,34.10365825510167,0.7417230383011143,1
-0.024509803921568638,0.33333333333333315,-0.08333333333333337,-7.263469488388613,98.78318504208504,-24.695796260521284,102.08211395248799,4.778753254068923,0.9268749143666073,517.5156445887945,7038.6068707802215,33.352838513871085,0.7426527238202901,1
-0.01470588235294118,0.33333333333333315,-0.08333333333333337,-4.358081693033166,98.78318504208504,-24.695796260521284,101.91659764750362,4.712088451928948,0.9286292512650277,517.0317856982263,7038.604472214757,32.84275755728743,0.7432738369268408,1
-0.004901960784313722,0.33333333333333315,-0.08333333333333337,-1.4526938976777208,98.78318504208504,-24.695796260521284,101.83373861132831,4.678713135255027,0.9295075490722362,516.7701984258255,7038.6032729317185,32.58472291556213,0.7435847913317611,1
0.004901960784313736,0.33333333333333315,-0.08333333333333337,1.452693897677725,98.78318504208504,-24.695796260521284,101.83373861132831,4.678713135255027,0.9295075490722362,516.7701984258255,7038.6032729317185,32.58472291556213,0.7435847913317611,1
0.014705882352941194,0.33333333333333315,-0.08333333333333337,4.358081693033171,98.78318504208504,-24.695796260521284,101.91659764750362,4.712088451928948,0.9286292512650277,517.0317856982263,7038.604472214757,32.842757557287435,0.7432738369268408,1
0.02450980392156865,0.33333333333333315,-0.08333333333333337,7.263469488388616,98.78318504208504,-24.695796260521284,102.08211395248799,4.778753254068923,0.9268749143666073,517.5156445887945,7038.6068707802215,33.352838513871085,0.7426527238202901,1
0.034313725490196095,0.33333333333333315,-0.08333333333333337,10.168857283744059,98.78318504208504,-24.695796260521284,102.32988643821092,4.878536409934849,0.9242490418438196,518.1924676473438,7038.610468626886,34.10365825510167,0.7417230383011143,1
0.04411764705882357,0.33333333333333315,-0.08333333333333337,13.074245079099509,98.78318504208504,-24.695796260521284,102.65931952038426,5.011182542182072,0.9207583541531035,519.0393780329879,7038.615265752912,35.07976243237641,0.7404871470704166,1
0.05392156862745101,0.33333333333333315,-0.08333333333333337,15.97963287445495,98.78318504208504,-24.695796260521284,103.06963018659934,5.176353594322188,0.9164117475178372,520.0363639883179,7038.621262155845,36.26296340242991,0.738948182133612,1
0.06372549019607848,0.33333333333333315,-0.08333333333333337,18.885020669810398,98.78318504208504,-24.695796260521284,103.55985711509626,5.373630889953919,0.9112202397380549,521.1654051724164,7038.628457832623,37.63373292171235,0.7371100209383493,1
0.07352941176470593,0.33333333333333315,-0.08333333333333337,21.790408465165843,98.78318504208504,-24.695796260521284,104.12887160187015,5.602517660326637,0.9051969036756148,522.4102945799391,7038.636852779565,39.17238503081452,0.7349772619925774,1
0.08333333333333337,0.33333333333333315,-0.08333333333333337,24.695796260521284,98.78318504208504,-24.695796260521284,104.77539001569579,5.862442010599124,0.8983567891947599,523.7566022446343,7038.646446992381,40.859958405079006,0.7325551962473426,1
-0.08333333333333337,0.3431372549019606,-0.08333333333333337,-24.695796260521284,101.68857283744049,-24.695796260521284,107.51897763463803,5.658372697163246,0.9037270342851778,523.7134860820454,7040.70187118016,39.429880646154956,0.7332298633350709,1
-0.07352941176470591,0.3431372549019606,-0.08333333333333337,-21.790408465165836,101.68857283744049,-24.695796260521284,106.88905509796308,5.396913626107022,0.9106075361550784,522.3348196388885,7040.692279768229,37.67830988655965,0.7356581771875343,1
-0.06372549019607845,0.3431372549019606,-0.08333333333333337,-18.88502066981039,101.68857283744049,-24.695796260521284,106.33481181793563,5.166671189206537,0.9166665476524595,521.0574002002622,7040.683887272072,36.075991192592525,0.7377964626405402,1
-0.053921568627451004,0.3431372549019606,-0.08333333333333337,-15.979632874454948,101.68857283744049,-24.695796260521284,105.8574365146775,4.968222284050493,0.9218888872618292,519.8966984688344,7040.676693695974,34.643640132515074,0.7396394055455335,1
-0.044117647058823546,0.3431372549019606,-0.08333333333333337,-13.074245079099502,101.68857283744049,-24.695796260521284,105.45797306531628,4.802068046226001,0.926261367204579,518.8703576302495,7040.670699043611,33.403128883642104,0.741182387110396,1
