current_x_A,current_y_A,current_z_A,coil_field_x_mG,coil_field_y_mG,coil_field_z_mG,coil_field_norm_mG,mot_gradient_field_x_mG,mot_gradient_field_y_mG,mot_gradient_field_z_mG,mot_gradient_field_norm_mG,switch_off_field_x_mG,switch_off_field_y_mG,switch_off_field_z_mG,final_temperature_uK,cooling_efficiency,mean_field_mG,initial_field_mG,final_field_mG,mean_relative_efficiency
-1.0,-1.0,-1.0,-296.3359061821516,-296.3783550387329,-296.3359061821516,513.2933546433843,-8.949577239940914e-13,87.4664794962657,262.42199660505764,276.61469472473,0.0,1500.0,1500.0,121.69994840858033,0.39545480601727107,545.0785877731115,2112.005489747269,426.15215428211263,0.1709670486643603
-0.9166666666666666,-1.0,-1.0,-271.64124733363894,-296.3783550387329,-296.3359061821516,499.44375647437755,-8.949577239940914e-13,87.4664794962657,262.42199660505764,276.61469472473,0.0,1500.0,1500.0,117.06331600757727,0.41887214137587236,528.7673690607947,2108.682334227415,409.36494300252895,0.18478827592368852
-0.8333333333333334,-1.0,-1.0,-246.9465884851263,-296.3783550387329,-296.3359061821516,486.454228260691,-8.949577239940914e-13,87.4664794962657,262.42199660505764,276.61469472473,0.0,1500.0,1500.0,112.27893127130004,0.4430357006499998,513.1376526865733,2105.6435683643726,393.41238779546694,0.19965910109885968
-0.75,-1.0,-1.0,-222.25192963661368,-296.3783550387329,-296.3359061821516,474.3954245726453,-8.949577239940914e-13,87.4664794962657,262.42199660505764,276.61469472473,0.0,1500.0,1500.0,107.40154885017947,0.4676689452011138,498.28194612287405,2102.890425023854,378.40006545148333,0.21550430752464997
-0.6666666666666667,-1.0,-1.0,-197.55727078810108,-296.3783550387329,-296.3359061821516,463.34001971500936,-8.949577239940914e-13,87.4664794962657,262.42199660505764,276.61469472473,0.0,1500.0,1500.0,102.50461181076052,0.4924009504507044,484.30795581787584,2100.4240273504415,364.44418577846966,0.23216443857673014
-0.5833333333333334,-1.0,-1.0,-172.86261193958842,-296.3783550387329,-296.3359061821516,453.36142451121583,-8.949577239940914e-13,87.4664794962657,262.42199660505764,276.61469472473,0.0,1500.0,1500.0,97.68205805851956,0.5167572825327295,471.3406324418375,2098.245386516168,351.67054456275594,0.24936692090453813
-0.5,-1.0,-1.0,-148.1679530910758,-296.3783550387329,-296.3359061821516,444.5321596369169,-8.949577239940914e-13,87.4664794962657,262.42199660505764,276.61469472473,0.0,1500.0,1500.0,93.04913804546018,0.5401558684572718,459.5239549882239,2096.355399676544,340.2123331534114,0.2666967871077198
-0.41666666666666674,-1.0,-1.0,-123.47329424256318,-296.3783550387329,-296.3359061821516,436.92190723214225,-8.949577239940914e-13,87.4664794962657,262.42199660505764,276.61469472473,0.0,1500.0,1500.0,88.74101617289746,0.5619140597328411,449.02190659035983,2094.754848143552,330.2065167400534,0.28357464486171174
-0.33333333333333337,-1.0,-1.0,-98.77863539405054,-296.3783550387329,-296.3359061821516,430.59530587150266,-8.949577239940914e-13,87.4664794962657,262.42199660505764,276.61469472473,0.0,1500.0,1500.0,84.90821618972488,0.5812716354054299,440.0175874180012,2093.444395784162,321.788607810779,0.29925456626360836
-0.25,-1.0,-1.0,-74.0839765455379,-296.3783550387329,-296.3359061821516,425.60960305080283,-8.949577239940914e-13,87.4664794962657,262.42199660505764,276.61469472473,0.0,1500.0,1500.0,81.70786731729743,0.5974350135490029,432.70853436955275,2092.424587651991,315.0859008068885,0.31285828804112725
-0.16666666666666674,-1.0,-1.0,-49.389317697025284,-296.3783550387329,-296.3359061821516,422.01232604136084,-8.949577239940914e-13,87.4664794962657,262.42199660505764,276.61469472473,0.0,1500.0,1500.0,79.2904724575705,0.6096440784971187,427.29516945335683,2091.6958488586197,310.2095969003317,0.32345970592949735
-0.08333333333333337,-1.0,-1.0,-24.694658848512642,-296.3783550387329,-296.3359061821516,419.8391654001644,-8.949577239940914e-13,87.4664794962657,262.42199660505764,276.61469472473,0.0,1500.0,1500.0,77.78279742702262,0.6172585988534212,423.95900825802863,2091.2584836900123,307.2466687893182,0.330219580906081
0.0,-1.0,-1.0,0.0,-296.3783550387329,-296.3359061821516,419.1122744900967,-8.949577239940914e-13,87.4664794962657,262.42199660505764,276.61469472473,0.0,1500.0,1500.0,77.27017798159893,0.6198475859515206,422.830871272196,2091.112674972299,306.25265599907635,0.33254456779291325
0.08333333333333326,-1.0,-1.0,24.69465884851261,-296.3783550387329,-296.3359061821516,419.8391654001644,-8.949577239940914e-13,87.4664794962657,262.42199660505764,276.61469472473,0.0,1500.0,1500.0,77.78279742702262,0.6172585988534212,423.95900825802863,2091.2584836900123,307.2466687893182,0.330219580906081
0.16666666666666652,-1.0,-1.0,49.38931769702522,-296.3783550387329,-296.3359061821516,422.01232604136084,-8.949577239940914e-13,87.4664794962657,262.42199660505764,276.61469472473,0.0,1500.0,1500.0,79.29047245757049,0.6096440784971188,427.2951694533568,2091.6958488586197,310.2095969003317,0.3234597059294974
0.25,-1.0,-1.0,74.0839765455379,-296.3783550387329,-296.3359061821516,425.60960305080283,-8.949577239940914e-13,87.4664794962657,262.42199660505764,276.61469472473,0.0,1500.0,1500.0,81.7078673172974,0.5974350135490031,432.70853436955275,2092.424587651991,315.0859008068885,0.31285828804112736
0.33333333333333326,-1.0,-1.0,98.7786353940505,-296.3783550387329,-296.3359061821516,430.5953058715026,-8.949577239940914e-13,87.4664794962657,262.42199660505764,276.61469472473,0.0,1500.0,1500.0,84.90821618972485,0.58127163540543,440.0175874180012,2093.4443957841618,321.788607810779,0.2992545662636085
0.4166666666666665,-1.0,-1.0,123.47329424256311,-296.3783550387329,-296.3359061821516,436.92190723214225,-8.949577239940914e-13,87.4664794962657,262.42199660505764,276.61469472473,0.0,1500.0,1500.0,88.74101617289742,0.5619140597328414,449.0219065903597,2094.754848143552,330.20651674005336,0.2835746448617119
0.5,-1.0,-1.0,148.1679530910758,-296.3783550387329,-296.3359061821516,444.5321596369169,-8.949577239940914e-13,87.4664794962657,262.42199660505764,276.61469472473,0.0,1500.0,1500.0,93.04913804546015,0.5401558684572719,459.52395498822386,2096.355399676544,340.2123331534114,0.2666967871077199
0.5833333333333333,-1.0,-1.0,172.8626119395884,-296.3783550387329,-296.3359061821516,453.36142451121583,-8.949577239940914e-13,87.4664794962657,262.42199660505764,276.61469472473,0.0,1500.0,1500.0,97.68205805851954,0.5167572825327296,471.3406324418375,2098.2453865161674,351.67054456275594,0.24936692090453827
0.6666666666666665,-1.0,-1.0,197.557270788101,-296.3783550387329,-296.3359061821516,463.3400197150093,-8.949577239940914e-13,87.4664794962657,262.42199660505764,276.61469472473,0.0,1500.0,1500.0,102.5046118107605,0.4924009504507046,484.3079558178757,2100.424027350441,364.4441857784696,0.23216443857673028
0.75,-1.0,-1.0,222.25192963661368,-296.3783550387329,-296.3359061821516,474.3954245726453,-8.949577239940914e-13,87.4664794962657,262.42199660505764,276.61469472473,0.0,1500.0,1500.0,107.40154885017944,0.46766894520111396,498.28194612287393,2102.8904250238534,378.40006545148333,0.21550430752465005
0.8333333333333333,-1.0,-1.0,246.94658848512628,-296.3783550387329,-296.3359061821516,486.45422826069097,-8.949577239940914e-13,87.4664794962657,262.42199660505764,276.61469472473,0.0,1500.0,1500.0,112.2789312713,0.44303570065000003,513.1376526865732,2105.643568364372,393.41238779546694,0.1996591010988598
0.9166666666666665,-1.0,-1.0,271.6412473336389,-296.3783550387329,-296.3359061821516,499.4437564743775,-8.949577239940914e-13,87.4664794962657,262.42199660505764,276.61469472473,0.0,1500.0,1500.0,117.06331600757723,0.4188721413758726,528.7673690607945,2108.682334227415,409.36494300252895,0.18478827592368863
