fixed_T_ms,fixed_T2_ms2,phase_rad,upper_probability,lower_probability
10.0,100.0,0.0,32.13974410559055,46.027374433242265
10.0,100.0,0.01048914858096828,32.24808823276396,46.183806983172005
10.0,100.0,0.02097829716193656,32.356633909121776,46.340054278587644
10.0,100.0,0.031467445742904845,32.46536919233534,46.49609912896979
10.0,100.0,0.04195659432387312,32.57428211921509,46.651924366072116
10.0,100.0,0.0524457429048414,32.6833607070269,46.80751284581046
10.0,100.0,0.06293489148580969,32.79259295481053,46.96284745014913
10.0,100.0,0.07342404006677797,32.90196684469978,47.11791108898395
10.0,100.0,0.08391318864774625,33.011470343244795,47.27268670202274
10.0,100.0,0.09440233722871452,33.121091402736134,47.42715726066239
10.0,100.0,0.1048914858096828,33.23081796253005,47.58130576986212
10.0,100.0,0.11538063439065109,33.34063795037552,47.7351152700134
10.0,100.0,0.12586978297161938,33.450539283742565,47.88856883880607
10.0,100.0,0.13635893155258766,33.56050987115135,48.04164959308981
10.0,100.0,0.14684808013355594,33.670537613502646,48.19434069073181
10.0,100.0,0.1573372287145242,33.78061040540906,48.346625332469934
10.0,100.0,0.1678263772954925,33.890716136526684,48.49848676376064
10.0,100.0,0.17831552587646077,34.0008426928876,48.64990827662254
10.0,100.0,0.18880467445742904,34.11097795823278,48.80087321147476
10.0,100.0,0.19929382303839732,34.22110981534488,48.9513649589695
10.0,100.0,0.2097829716193656,34.331226147381685,49.101366961819814
10.0,100.0,0.2202721202003339,34.44131483920894,49.250862716620915
10.0,100.0,0.23076126878130218,34.55136377873342,49.39983577566605
10.0,100.0,0.24125041736227046,34.66136085823558,49.54826974875623
10.0,100.0,0.25173956594323876,34.771293975701504,49.69614830500325
10.0,100.0,0.26222871452420704,34.881151036154435,49.8434551746265
10.0,100.0,0.2727178631051753,34.99091995298562,49.99017415074323
10.0,100.0,0.2832070116861436,35.10058864928386,50.13628909115128
10.0,100.0,0.29369616026711187,35.21014505916434,50.28178392010526
10.0,100.0,0.30418530884808015,35.31957712909626,50.42664263008534
10.0,100.0,0.3146744574290484,35.42887281922873,50.570849283558125
10.0,100.0,0.3251636060100167,35.53802010471553,50.7143880147303
10.0,100.0,0.335652754590985,35.647006977038224,50.85724303129432
10.0,100.0,0.34614190317195326,35.755821445327115,50.9993986161656
10.0,100.0,0.35663105175292154,35.86445153768061,51.14083912921192
10.0,100.0,0.3671202003338898,35.97288530248248,51.28154900897427
10.0,100.0,0.3776093489148581,36.08111080971662,51.421512774378655
10.0,100.0,0.38809849749582637,36.18911615227963,51.560715026439524
10.0,100.0,0.39858764607679464,36.29688944729104,51.69914044995408
10.0,100.0,0.4090767946577629,36.404418837400435,51.83677381518704
10.0,100.0,0.4195659432387312,36.51169249209208,51.97359997954632
10.0,100.0,0.43005509181969953,36.61869860898671,52.10960388924922
10.0,100.0,0.4405442404006678,36.72542541513977,52.24477058097838
10.0,100.0,0.4510333889816361,36.831861168336815,52.37908518352819
10.0,100.0,0.46152253756260436,36.93799415838553,52.51253291944104
10.0,100.0,0.47201168614357264,37.04381270840384,52.64509910663296
10.0,100.0,0.4825008347245409,37.14930517610477,52.77676916000904
10.0,100.0,0.4929899833055092,37.25445995507742,52.907528593068236
10.0,100.0,0.5034791318864775,37.35926547606372,53.03736301949695
10.0,100.0,0.5139682804674458,37.463710208231376,53.16625815475196
10.0,100.0,0.5244574290484141,37.56778266044265,53.29419981763211
10.0,100.0,0.5349465776293824,37.671471382518384,53.421173931838354
10.0,100.0,0.5454357262103506,37.77476496649788,53.54716652752252
10.0,100.0,0.5559248747913189,37.87765204789413,53.67216374282445
10.0,100.0,0.5664140233722872,37.980121306943936,53.79615182539683
10.0,100.0,0.5769031719532555,38.08216146985343,53.91911713391835
10.0,100.0,0.5873923205342237,38.18376131003852,54.0410461395947
10.0,100.0,0.597881469115192,38.28490964935983,54.16192542764673
10.0,100.0,0.6083706176961603,38.38559535935282,54.28174169878665
10.0,100.0,0.6188597662771286,38.48580736245186,54.400481770681
