T_ms,T2_ms2,upper_probability,lower_probability
0.0,0.0,33.668781624533615,43.87597504209093
0.02337228714524207,0.0005462638063996478,33.66987036918464,43.87752996824651
0.04674457429048414,0.002185055225598591,33.67313662958868,43.882194786849176
0.07011686143572621,0.004916374257596829,33.6785804843952,43.889969617302434
0.09348914858096828,0.008740220902394364,33.68620206234179,43.900854655264446
0.11686143572621036,0.013656595159991194,33.6960015387369,43.91485016762638
0.14023372287145242,0.019665497030387315,33.70797913053522,43.931956485481635
0.1636060100166945,0.026766926513582742,33.72213509000572,43.95217399508559
0.18697829716193656,0.034960883609577456,33.738469696991885,43.97550312680547
0.21035058430717862,0.04424736831837146,33.75698324976389,44.001944342059836
0.2337228714524207,0.05462638063996478,33.77767605446234,44.03149811824698
0.2570951585976628,0.06609792057435739,33.800548413133306,44.064164931662006
0.28046744574290483,0.07866198812154926,33.825600610354286,44.09994523840185
0.3038397328881469,0.09231858328154047,33.85283289845101,44.138839453258136
0.327212020033389,0.10706770605433097,33.88224548130484,44.18084792659738
0.35058430717863104,0.12290935643992072,33.913838496750984,44.225970919228885
0.3739565943238731,0.13984353443830982,33.94761199756767,44.274208575260225
0.3973288814691152,0.1578702400494982,33.98356593105682,44.32556089294127
0.42070116861435725,0.17698947327348585,34.02170011721705,44.380027693497574
0.44407345575959933,0.19720123411027282,34.06201422551003,44.43760858795474
0.4674457429048414,0.2185055225598591,34.104507750221934,44.49830294195583
0.49081803005008345,0.2409023386222446,34.14917998442185,44.5621098385746
0.5141903171953256,0.26439168229742954,34.19602999251981,44.62902803912815
0.5375626043405676,0.2889735535854136,34.2450565814276,44.699055941993294
0.5609348914858097,0.31464795248619704,34.29625827032617,44.772191539432086
0.5843071786310517,0.3414148789997798,34.34963325904441,44.84843237243292
0.6076794657762938,0.36927433312616187,34.405179395054546,44.927775483574905
0.6310517529215359,0.3982263148653432,34.46289413909074,45.01021736792446
0.654424040066778,0.4282708242173239,34.5227745293983,45.09575392197448
0.67779632721202,0.4594078611821037,34.584817144621894,45.18438039063818
0.7011686143572621,0.4916374257596829,34.64901806534268,45.27609131231133
0.7245409015025042,0.5249595179500615,34.71537283427531,45.37088046201834
0.7479131886477463,0.5593741377532393,34.78387641513723,45.468740792659844
0.7712854757929883,0.5948812851692165,34.85452315020438,45.56966437438166
0.7946577629382304,0.6314809601979928,34.927306716568786,45.67364233208688
0.8180300500834725,0.6691731628395685,35.00222008111541,45.78066478111594
0.8414023372287145,0.7079578930939434,35.07925545423749,45.890720761121614
0.8647746243739566,0.7478351509611177,35.15840424231148,46.00379816816909
0.8881469115191987,0.7888049364410913,35.239656998954935,46.1198836850939
0.9115191986644408,0.8308672495338643,35.3230033750928,46.23896271015411
0.9348914858096828,0.8740220902394364,35.408432067859856,46.36101928401596
0.9582637729549249,0.918269458557808,35.49593076836977,46.48603601511619
0.9816360601001669,0.9636093544889784,35.58548610838358,46.613994003447694
1.005008347245409,1.0100417780329485,35.677083605913325,46.7448727628191
1.0283806343906512,1.0575667291897182,35.77070760979928,46.87865014164312
1.0517529215358932,1.1061842079592867,35.86634124330249,47.015302242312586
1.0751252086811351,1.1558942143416544,35.96396634675713,47.15480333922785
1.0984974958263773,1.2066967483368218,36.06356341933088,47.297125795543636
1.1218697829716193,1.2585918099447881,36.16511155994457,47.4422399787086
1.1452420701168615,1.3115793991655544,36.26858840740626,47.59011417487573
1.1686143572621035,1.3656595159991192,36.373970079818335,47.740714502267174
1.1919866444073457,1.420832160445484,36.48123111332029,47.8940048235825
1.2153589315525877,1.4770973325046475,36.59034440023375,48.049946657545114
1.2387312186978297,1.5344550321766102,36.701281126680385,48.208499089687535
1.2621035058430718,1.5929052594613728,36.8140107097478,48.36961868248213
1.2854757929883138,1.6524480143589342,36.92850073428266,48.533259384930474
1.308848080133556,1.7130832968692955,37.044716889395154,48.69937244173082
1.332220367278798,1.7748111069924555,37.16262290476325,48.86790630214984
1.35559265442404,1.8376314447284148,37.28218048683027,49.0388065287317
1.3789649415692822,1.9015443100771738,37.403349254994076,49.212015705984626
1.4023372287145242,1.9665497030387316,37.526086677891314,49.38747334919228
1.4257095158597664,2.0326476236130895,37.650348009885285,49.56511581350452
1.4490818030050083,2.099838071800246,37.77608622787122,49.74487620346996
1.4724540901502505,2.168121047600202,37.903251968518305,49.92668428318013
1.4958263772954925,2.237496551012957,38.031793466073054,50.110466387203054
1.5191986644407345,2.3079645820385113,38.16165649085443,50.29614533249196
1.5425709515859767,2.379525140676866,38.29278428857653,50.48364033146291
1.5659432387312187,2.4521782269280186,38.42511752064057,50.67286690644331
1.5893155258764609,2.5259238407919713,38.558594205543685,50.86373680570166
1.6126878130217028,2.6007619822687227,38.69314966155763,51.05615792127705
1.636060100166945,2.676692651358274,38.828716450836836,51.25003420883549
1.659432387312187,2.753715848060624,38.96522432512075,51.44526560978859
1.682804674457429,2.8318315723757737,39.10260017320149,51.64174797591854
1.7061769616026712,2.9110398243037228,39.240767970333884,51.83937299676186
1.7295492487479132,2.991340603844471,39.37964872977076,52.03802813001291
1.7529215358931554,3.0727339109980187,39.519160456612184,52.23759653521653
1.7762938230383973,3.155219745764365,39.659218104163436,52.43795701102759
1.7996661101836393,3.238798108143511,39.799733533002055,52.63898393632347
1.8230383973288815,3.323468998135457,39.94061547296017,52.84054721546381
1.8464106844741235,3.409232415740201,40.081769488233824,53.04251222799968
1.8697829716193657,3.4960883609577458,40.223097945836614,53.24473978314247
1.8931552587646077,3.5840368337880886,40.36449998762012,53.447086079310125
