fixed_T_ms,fixed_T2_ms2,phase_rad,upper_probability,lower_probability
11.5,132.25,0.0,33.5610916689981,43.65678047810227
11.5,132.25,0.01048914858096828,33.67111968146524,43.81391241608897
11.5,132.25,0.02097829716193656,33.781192679447585,43.971119838274944
11.5,132.25,0.031467445742904845,33.891298552578675,44.12838544850648
11.5,132.25,0.04195659432387312,34.00142518687496,44.28569194422776
11.5,132.25,0.0524457429048414,34.11156046606874,44.44302201838471
11.5,132.25,0.06293489148580969,34.221692272941276,44.6003583613293
11.5,132.25,0.07342404006677797,34.33180849065578,44.7576836627236
11.5,132.25,0.08391318864774625,34.44189700409058,44.914980613444534
11.5,132.25,0.09440233722871452,34.55194570117217,45.07223190748833
11.5,132.25,0.1048914858096828,34.6619424742076,45.229420243874266
11.5,132.25,0.11538063439065109,34.77187522121664,45.3865283285483
11.5,132.25,0.12586978297161938,34.88173184726342,45.54353887628595
11.5,132.25,0.13635893155258766,34.99150026578686,45.70043461259369
11.5,132.25,0.14684808013355594,35.10116839993059,45.85719827560971
11.5,132.25,0.1573372287145242,35.21072418387176,46.01381261800321
11.5,132.25,0.1678263772954925,35.32015556414832,46.17026040887167
11.5,132.25,0.17831552587646077,35.429450500985254,46.326524435636784
11.5,132.25,0.18880467445742904,35.53859696961934,46.48258750593835
11.5,132.25,0.19929382303839732,35.64758296162186,46.63843244952543
11.5,132.25,0.2097829716193656,35.75639648622008,46.794042120145875
11.5,132.25,0.2202721202003339,35.865025571616236,46.94939939743238
11.5,132.25,0.23076126878130218,35.97345826630478,47.10448718878629
11.5,132.25,0.24125041736227046,36.08168264038743,47.25928843125826
11.5,132.25,0.25173956594323876,36.18968678688549,47.413786093425266
11.5,132.25,0.26222871452420704,36.29745882304995,47.567963177264545
11.5,132.25,0.2727178631051753,36.404986891669004,47.72180272002392
11.5,132.25,0.2832070116861436,36.512259162372324,47.875287796087754
11.5,132.25,0.29369616026711187,36.619263832932795,48.028401518839246
11.5,132.25,0.30418530884808015,36.7259891305651,48.18112704251852
11.5,132.25,0.3146744574290484,36.83242331322076,48.333447564075676
11.5,132.25,0.3251636060100167,36.93855467088014,48.48534632501964
11.5,132.25,0.335652754590985,37.044371526840884,48.63680661326213
11.5,132.25,0.34614190317195326,37.149862239002395,48.787811764956
11.5,132.25,0.35663105175292154,37.255015201146804,48.93834516632878
11.5,132.25,0.3671202003338898,37.35981884421604,49.08839025551074
11.5,132.25,0.3776093489148581,37.464261637584436,49.237930524356656
11.5,132.25,0.38809849749582637,37.56833209032744,49.38694952026229
11.5,132.25,0.39858764607679464,37.67201875248598,49.53543084797464
11.5,132.25,0.4090767946577629,37.775310216326005,49.68335817139546
11.5,132.25,0.4195659432387312,37.87819511759366,49.830715215378746
11.5,132.25,0.43005509181969953,37.980662136765716,49.977485767521486
11.5,132.25,0.4405442404006678,38.08270000029472,50.12365367994707
11.5,132.25,0.4510333889816361,38.18429748184947,50.269202871082044
11.5,132.25,0.46152253756260436,38.28544340355024,50.41411732742559
11.5,132.25,0.47201168614357264,38.38612663719835,50.55838110531106
11.5,132.25,0.4825008347245409,38.48633610550064,50.7019783326602
11.5,132.25,0.4929899833055092,38.586060783288296,50.84489321072966
11.5,132.25,0.5034791318864775,38.68528969872965,50.98711001584883
11.5,132.25,0.5139682804674458,38.78401193453742,51.128613101149945
11.5,132.25,0.5244574290484141,38.88221662916994,51.269386898289724
11.5,132.25,0.5349465776293824,38.97989297802595,51.409415919161916
11.5,132.25,0.5454357262103506,39.07703023463347,51.548684757601464
11.5,132.25,0.5559248747913189,39.173617711832165,51.687178091079666
11.5,132.25,0.5664140233722872,39.269644782949015,51.82488068238965
11.5,132.25,0.5769031719532555,39.36510088296768,51.96177738132314
11.5,132.25,0.5873923205342237,39.45997550969068,52.09785312633699
11.5,132.25,0.597881469115192,39.55425822489491,52.23309294621045
11.5,132.25,0.6083706176961603,39.647938655480225,52.367481961692356
11.5,132.25,0.6188597662771286,39.74100649461046,52.501005387138
11.5,132.25,0.6293489148580969,39.833451502847524,52.63364853213594
11.5,132.25,0.6398380634390651,39.92526350927805,52.76539680312441
11.5,132.25,0.6503272120200334,40.01643241263218,52.89623570499664
11.5,132.25,0.6608163606010017,40.10694818239509,53.02615084269577
11.5,132.25,0.67130550918197,40.196800859910574,53.15512792279875
11.5,132.25,0.6817946577629382,40.285980559476585,53.283152755088636
11.5,132.25,0.6922838063439065,40.37447746943292,53.41021125411597
11.5,132.25,0.7027729549248748,40.46228185324082,53.5362894407486
11.5,132.25,0.7132621035058431,40.549384050554025,53.661373443709394
11.5,132.25,0.7237512520868113,40.63577447828168,53.78544950110257
11.5,132.25,0.7342404006677796,40.721443631642806,53.90850396192784
11.5,132.25,0.7447295492487479,40.80638208521181,54.03052328758214
11.5,132.25,0.7552186978297162,40.89058049395559,54.151494053349225
11.5,132.25,0.7657078464106845,40.97402959426178,54.27140294987683
11.5,132.25,0.7761969949916527,41.05672020495775,54.39023678464072
11.5,132.25,0.786686143572621,41.138643228320845,54.507982483396276
11.5,132.25,0.7971752921535893,41.21978965107939,54.624627091617086
11.5,132.25,0.8076644407345576,41.30015054540418,54.74015777591991
11.5,132.25,0.8181535893155258,41.37971706989081,54.85456182547682
11.5,132.25,0.8286427378964941,41.45848047053251,54.967826653413745
11.5,132.25,0.8391318864774624,41.53643208168308,55.07993979819503
11.5,132.25,0.8496210350584308,41.613563327010446,55.19088892499465
11.5,132.25,0.8601101836393991,41.68986572044021,55.30066182705336
11.5,132.25,0.8705993322203673,41.76533086708925,55.409246427021515
11.5,132.25,0.8810884808013356,41.83995046418933,55.516630778287904
11.5,132.25,0.8915776293823039,41.91371630200071,55.62280306629428
11.5,132.25,0.9020667779632722,41.98662026471521,55.727751609834975
11.5,132.25,0.9125559265442404,42.05865433134921,55.83146486234219
11.5,132.25,0.9230450751252087,42.12981057662621,55.93393141315645
11.5,132.25,0.933534223706177,42.200081171848616,56.03513998878187
11.5,132.25,0.9440233722871453,42.26945838575914,56.13507945412651
11.5,132.25,0.9545125208681136,42.33793458539146,56.23373881372761
11.5,132.25,0.9650016694490818,42.40550223690989,56.331107212961086
11.5,132.25,0.9754908180300501,42.47215390643839,56.427173939236035
11.5,132.25,0.9859799666110184,42.537882260878334,56.521928423173115
11.5,132.25,0.9964691151919867,42.60268006871536,56.6153602397675
11.5,132.25,1.006958263772955,42.666540200815014,56.70745910953593
11.5,132.25,1.0174474123539232,42.72945563120707,56.798214899647526
11.5,132.25,1.0279365609348916,42.7914194378585,56.88761762503867
11.5,132.25,1.0384257095158598,42.852424803435184,56.97565744951167
11.5,132.25,1.0489148580968282,42.91246501605178,57.0623246868168
11.5,132.25,1.0594040066777963,42.97153347001029,57.14760980171804
11.5,132.25,1.0698931552587647,43.02962366652683,57.23150341104228
11.5,132.25,1.0803823038397329,43.08672921444656,57.313996284711465
11.5,132.25,1.0908714524207013,43.142843830946866,57.3950793467582
11.5,132.25,1.1013606010016694,43.19796134222872,57.474743676324394
11.5,132.25,1.1118497495826378,43.252075684195766,57.552980508642555
11.5,132.25,1.122338898163606,43.305180903121546,57.62978123600019
11.5,132.25,1.1328280467445744,43.35727115630464,57.70513740868693
11.5,132.25,1.1433171953255425,43.40834071271134,57.77904073592399
11.5,132.25,1.153806343906511,43.45838395360627,57.851483086776454
11.5,132.25,1.164295492487479,43.50739537317058,57.92245649104787
11.5,132.25,1.1747846410684475,43.55536957910762,57.99195314015704
11.5,132.25,1.1852737896494157,43.60230129323627,58.059965387997174
11.5,132.25,1.195762938230384,43.64818535207169,58.126485751777224
