Parameter,atoms_UP_Fit,atoms_UP_Fit_Std,atoms_DW_Fit,atoms_DW_Fit_Std,atoms_UP_Raw,atoms_UP_Raw_Std,atoms_DW_Raw,atoms_DW_Raw_Std,amp_UP_Fit,amp_UP_Fit_Std,amp_DW_Fit,amp_DW_Fit_Std,amp_UP_Raw,amp_UP_Raw_Std,amp_DW_Raw,amp_DW_Raw_Std,sigma_UP_Fit,sigma_UP_Fit_Std,sigma_DW_Fit,sigma_DW_Fit_Std,sigma_UP_Raw,sigma_UP_Raw_Std,sigma_DW_Raw,sigma_DW_Raw_Std,temp_UP_Fit,temp_UP_Fit_Std,temp_DW_Fit,temp_DW_Fit_Std,temp_UP_Raw,temp_UP_Raw_Std,temp_DW_Raw,temp_DW_Raw_Std,arrival_UP_Fit,arrival_UP_Fit_Std,arrival_DW_Fit,arrival_DW_Fit_Std,arrival_UP_Raw,arrival_UP_Raw_Std,arrival_DW_Raw,arrival_DW_Raw_Std,prob_UP_Fit,prob_UP_Fit_Std,prob_DW_Fit,prob_DW_Fit_Std,prob_UP_Raw,prob_UP_Raw_Std,prob_DW_Raw,prob_DW_Raw_Std
15407,241934.2171,0.0000,696831.7606,0.0000,237583.8600,0.0000,683945.2326,0.0000,0.0045,0.0000,0.0061,0.0000,0.0045,0.0000,0.0059,0.0000,2.8912,0.0000,6.1431,0.0000,3.0057,0.0000,6.2340,0.0000,1.7595,0.0000,8.0653,0.0000,1.9016,0.0000,8.3074,0.0000,0.7984,0.0000,0.8035,0.0000,0.7984,0.0000,0.8036,0.0000,25.7715,0.0000,74.2285,0.0000,25.7815,0.0000,74.2185,0.0000
15408,241463.3502,0.0000,705035.1171,0.0000,230198.0936,0.0000,691302.2892,0.0000,0.0045,0.0000,0.0062,0.0000,0.0044,0.0000,0.0060,0.0000,2.8856,0.0000,6.1152,0.0000,3.5067,0.0000,6.5124,0.0000,1.7528,0.0000,7.9928,0.0000,2.5848,0.0000,9.0570,0.0000,0.7984,0.0000,0.8036,0.0000,0.7979,0.0000,0.8033,0.0000,25.5112,0.0000,74.4888,0.0000,24.9808,0.0000,75.0192,0.0000
15409,236766.2288,0.0000,690901.3813,0.0000,225853.4711,0.0000,672851.4618,0.0000,0.0045,0.0000,0.0061,0.0000,0.0044,0.0000,0.0058,0.0000,2.8294,0.0000,6.0908,0.0000,3.5623,0.0000,6.6237,0.0000,1.6852,0.0000,7.9289,0.0000,2.6669,0.0000,9.3639,0.0000,0.7984,0.0000,0.8036,0.0000,0.7978,0.0000,0.8031,0.0000,25.5227,0.0000,74.4773,0.0000,25.1310,0.0000,74.8690,0.0000
15410,234523.4377,0.0000,701695.5593,0.0000,225795.4775,0.0000,686581.4706,0.0000,0.0044,0.0000,0.0062,0.0000,0.0044,0.0000,0.0061,0.0000,2.8663,0.0000,6.0862,0.0000,2.7831,0.0000,6.4010,0.0000,1.7294,0.0000,7.9159,0.0000,1.6316,0.0000,8.7500,0.0000,0.7984,0.0000,0.8035,0.0000,0.7986,0.0000,0.8033,0.0000,25.0501,0.0000,74.9499,0.0000,24.7480,0.0000,75.2520,0.0000
15411,242413.1173,0.0000,716899.1578,0.0000,237096.3472,0.0000,700849.6081,0.0000,0.0045,0.0000,0.0063,0.0000,0.0045,0.0000,0.0061,0.0000,2.8969,0.0000,6.1194,0.0000,3.2840,0.0000,6.7350,0.0000,1.7665,0.0000,8.0023,0.0000,2.2687,0.0000,9.6776,0.0000,0.7984,0.0000,0.8035,0.0000,0.7982,0.0000,0.8030,0.0000,25.2695,0.0000,74.7305,0.0000,25.2783,0.0000,74.7217,0.0000
15412,231396.4269,0.0000,707024.8936,0.0000,213835.0840,0.0000,697083.8194,0.0000,0.0044,0.0000,0.0063,0.0000,0.0043,0.0000,0.0060,0.0000,2.8281,0.0000,6.0351,0.0000,3.0057,0.0000,6.9576,0.0000,1.6833,0.0000,7.7837,0.0000,1.9023,0.0000,10.3182,0.0000,0.7983,0.0000,0.8035,0.0000,0.7985,0.0000,0.8026,0.0000,24.6581,0.0000,75.3419,0.0000,23.4747,0.0000,76.5253,0.0000
15413,224399.3127,0.0000,665242.3932,0.0000,203542.7096,0.0000,656038.9840,0.0000,0.0044,0.0000,0.0059,0.0000,0.0044,0.0000,0.0057,0.0000,2.7426,0.0000,6.0634,0.0000,2.9500,0.0000,6.4567,0.0000,1.5831,0.0000,7.8565,0.0000,1.8329,0.0000,8.9029,0.0000,0.7983,0.0000,0.8035,0.0000,0.7986,0.0000,0.8033,0.0000,25.2236,0.0000,74.7764,0.0000,23.6793,0.0000,76.3207,0.0000
15414,228779.8934,0.0000,682612.0409,0.0000,220059.3135,0.0000,667525.3958,0.0000,0.0044,0.0000,0.0060,0.0000,0.0045,0.0000,0.0057,0.0000,2.7961,0.0000,6.1181,0.0000,3.1170,0.0000,6.7350,0.0000,1.6459,0.0000,8.0008,0.0000,2.0451,0.0000,9.6850,0.0000,0.7984,0.0000,0.8036,0.0000,0.7984,0.0000,0.8032,0.0000,25.1023,0.0000,74.8977,0.0000,24.7930,0.0000,75.2070,0.0000
15415,232179.6933,0.0000,680535.2168,0.0000,218580.2650,0.0000,667434.2792,0.0000,0.0044,0.0000,0.0060,0.0000,0.0043,0.0000,0.0058,0.0000,2.8377,0.0000,6.0994,0.0000,3.1170,0.0000,6.7907,0.0000,1.6950,0.0000,7.9513,0.0000,2.0455,0.0000,9.8383,0.0000,0.7984,0.0000,0.8036,0.0000,0.7984,0.0000,0.8030,0.0000,25.4384,0.0000,74.5616,0.0000,24.6701,0.0000,75.3299,0.0000
15416,236826.0600,0.0000,700437.9505,0.0000,225218.6334,0.0000,682540.4733,0.0000,0.0045,0.0000,0.0062,0.0000,0.0045,0.0000,0.0059,0.0000,2.8301,0.0000,6.0753,0.0000,3.1170,0.0000,6.7907,0.0000,1.6859,0.0000,7.8873,0.0000,2.0455,0.0000,9.8345,0.0000,0.7984,0.0000,0.8035,0.0000,0.7984,0.0000,0.8028,0.0000,25.2678,0.0000,74.7322,0.0000,24.8104,0.0000,75.1896,0.0000
