0,24670111.7612
1.615,24563626.1418
3.23,24530804.1673
4.845,24427725.3657
6.46,24283831.2753
8.075,24208472.0112
9.69,24390641.0559
11.305,24595596.106
12.92,24578824.515
14.535,24526485.5693
16.15,24768045.7873
17.765,24407600.9881
19.38,24391847.0639
20.995,24426779.314
22.61,24509464.9729
24.225,24026681.1383
25.84,23998311.6999
27.455,23876175.581
29.07,24185286.6591
30.685,24525456.2077
32.3,24118279.2666
33.915,24101315.1077
35.53,24150742.3603
37.145,24294693.1392
38.76,24244482.5273
40.375,24181380.6608
41.99,24114155.6745
43.605,24082827.6766
45.22,24269749.6349
46.835,24073164.3974
48.45,24072216.0677
50.065,24011411.9887
51.68,24060474.4452
53.295,23996760.9919
54.91,23904670.5932
56.525,23892557.0841
58.14,23904202.895
59.755,23602247.1735
61.37,23964914.4036
62.985,23876494.8478
64.6,23930626.3104
66.215,24144381.7937
67.83,24333610.3704
69.445,24186821.1146
71.06,24357908.1893
72.675,24296838.3986
74.29,24406435.1296
75.905,24257317.3331
77.52,24339899.7384
79.135,24273602.8386
80.75,24273817.3159
82.365,24412755.3811
83.98,24161154.8835
85.595,24182260.0568
87.21,24174123.8692
88.825,24130355.7781
90.44,24219503.7304
92.055,24141684.682
93.67,24390080.0117
95.285,870504.742
96.9,24603361.6436
98.515,25013466.4893
100.13,25046385.5585
101.745,25263948.5304
103.36,25355290.6614
104.975,25208331.7715
106.59,25128274.3112
108.205,25321175.8581
109.82,25616026.3621
111.435,25536244.0581
113.05,25345211.5673
114.665,25280422.0089
116.28,25252807.4712
117.895,25289662.6599
119.51,25056655.4465
121.125,25120480.3763
122.74,25049298.3171
124.355,25259497.3015
125.97,25146441.7707
127.585,24918872.6402
129.2,25155488.7826
130.815,24978120.0291
132.43,24815401.4654
134.045,24827351.133
135.66,24919282.4636
137.275,24872885.4431
138.89,24782033.431
140.505,24923044.9062
142.12,24749477.0398
143.735,24887421.5548
145.35,24977624.67
146.965,24768181.0978
148.58,24913767.7373
150.195,24652234.8514
151.81,24567492.4387
153.425,24309987.2924
155.04,24096528.6906
156.655,24142264.0353
158.27,24062910.1892
159.885,23880470.1461
161.5,23985896.3071
163.115,23899646.8598
164.73,23684434.576
166.345,23730714.6528
167.96,23383948.2442
169.575,23509365.1013
171.19,23352605.0408
172.805,23479273.1043
174.42,23140543.2316
176.035,23231579.466
177.65,23275902.6228
179.265,23041210.0214
180.88,23191780.5999
182.495,23328177.8713
184.11,22952313.8136
185.725,23059916.8352
187.34,22894698.2167
188.955,22750321.2317
190.57,22677629.8992
192.185,22511880.4133
193.8,22572797.9586
195.415,22449444.5739
197.03,22478973.3326
198.645,22554192.4924
200.26,22520401.51
201.875,22354866.1462
203.49,22311131.1477
205.105,22221560.5578
206.72,22091634.9093
208.335,22187965.1149
209.95,22053147.7967
211.565,21984733.9734
213.18,22144039.9956
214.795,22176821.0228
216.41,22266353.6573
218.025,22207236.7923
219.64,22336231.5984
221.255,22345029.51
222.87,22289346.4637
224.485,22242824.7862
226.1,22225269.4751
227.715,22156733.1965
229.33,22263204.2984
230.945,22225771.8372
232.56,22431599.0348
234.175,22336055.6139
235.79,22323129.7847
237.405,22102954.1696
239.02,22373005.3367
240.635,22042291.491
242.25,21719990.3243
243.865,21820188.6621
245.48,21954719.1051
247.095,22042560.4066
248.71,21827512.3102
250.325,21874659.2088
251.94,21829320.3637
253.555,21635125.2628
255.17,21795283.1652
256.785,21613248.0474
258.4,21988337.9747
260.015,21974153.7073
261.63,21843768.6263
263.245,21799462.8211
264.86,21810848.5362
266.475,21675839.2265
268.09,21778672.8068
269.705,21770256.9758
271.32,21887682.0899
272.935,21793882.6925
274.55,22214564.2488
276.165,22169320.6984
277.78,22043444.3902
279.395,21996885.7634
281.01,21955033.1577
282.625,22082210.5586
284.24,22053562.9588
285.855,21908361.0349
287.47,21932030.8453
289.085,21949930.3375
290.7,22191119.714
292.315,21912833.0089
293.93,21955629.18
295.545,21835558.674
297.16,21830123.9866
298.775,22126848.2515
300.39,21912134.2797
302.005,21967185.5278
303.62,21800247.6736
305.235,21807675.163
306.85,21717681.4818
308.465,22103903.0106
310.08,22032180.5558
311.695,21918999.9067
313.31,21800711.5765
314.925,21769459.7088
316.54,21966949.026
318.155,21837019.8872
319.77,21793260.7089
321.385,21934896.3322
323,21923591.8294
324.615,21929412.3295
326.23,21813344.9686
327.845,21951948.5187
329.46,21856131.7359
331.075,22010478.886
332.69,22031060.5763
334.305,22013466.036
335.92,22049467.9907
337.535,22032841.9173
339.15,22117918.4639
340.765,22366350.6835
342.38,22446061.404
343.995,22541683.6012
345.61,22250841.8173
347.225,22335813.5521
348.84,22634821.9013
350.455,22402614.536
352.07,22454357.5969
353.685,22442823.8465
355.3,22392267.1027
356.915,22576444.0564
358.53,22406177.2012
360.145,22572878.3825
361.76,22560474.6212
363.375,22566840.2848
364.99,22576312.5674
366.605,22459924.3293
368.22,22577529.9336
369.835,22543664.807
371.45,22364942.4583
373.065,22456997.5348
374.68,22454788.5857
376.295,22350599.8648
377.91,22501066.7472
379.525,22440570.7423
381.14,22333413.6305
382.755,22285135.7663
384.37,22073128.098
385.985,22263018.8637
387.6,22311869.2752
389.215,22330905.84
390.83,22126912.6515
392.445,21946277.6662
394.06,21838542.726
395.675,22062490.3363
397.29,22208127.1894
398.905,22049207.404
400.52,22040590.068
402.135,21994027.7258
403.75,22092502.5585
405.365,22022816.3282
406.98,22256416.596
408.595,22178643.8076
410.21,22303975.4024
411.825,22383075.6964
413.44,22426043.6141
415.055,22510668.8526
416.67,22622183.7413
418.285,22484104.7267
419.9,22676741.7112
421.515,22435687.4535
423.13,22711469.2616
424.745,22648282.0918
426.36,22798949.3746
427.975,22785775.8193
429.59,22582631.7199
431.205,22734860.5425
432.82,22897204.4712
434.435,22953989.4743
436.05,22739695.7561
437.665,22879106.3526
439.28,22890735.3736
440.895,22843822.6654
442.51,22923067.6216
444.125,23054689.6071
445.74,22850348.511
447.355,22976766.6338
448.97,23100537.6761
450.585,22943689.5266
452.2,23001433.2599
453.815,23054818.5858
455.43,23118702.4039
457.045,22792975.2957
458.66,22606991.1161
460.275,22970397.1711
461.89,22906367.1809
463.505,22874105.3244
465.12,22696162.231
466.735,22701822.0117
468.35,22641283.9716
