# Power Spectral Density estimated with Welch's method
# Raw CSV rows: 1000000
# Preprocess method: reconstructed_uniform_time_axis
# Preprocess details: 原始时间列存在重复时间戳或非均匀步长，因此按首末时间和总样本数重建了均匀时间轴。 检测到 80002 个重复时间块，重复块长度范围为 1 到 10 行。
# Samples used for PSD: 1000000
# Sampling frequency used for PSD (Hz): 999999
# Window: hann
# nperseg: 131072
# noverlap: 65536
# detrend: constant
# Display unit: V^2/Hz
# Display formula: display = PSD_V2_per_Hz
# Reference impedance (Ohm): 50
# Peak count reported: 5
# Minimum peak prominence (dB): 6
# Peak 1: f=69564.74977 Hz, psd_v2_per_hz=1.722620836e-11, prominence_db=17.56305692
# Peak 2: f=40000.87553 Hz, psd_v2_per_hz=1.266751844e-11, prominence_db=16.07189258
# Peak 3: f=65116.81721 Hz, psd_v2_per_hz=8.669987205e-12, prominence_db=13.06382663
# Peak 4: f=17944.31799 Hz, psd_v2_per_hz=7.148190068e-12, prominence_db=12.2700983
# Peak 5: f=475356.5803 Hz, psd_v2_per_hz=6.876615323e-12, prominence_db=15.23737304
frequency_hz,psd_v2_per_hz,psd_v2_per_hz
0.0,2.420937598444359e-11,2.420937598444359e-11
7.629386901812485,2.35117708159818e-10,2.35117708159818e-10
15.25877380362497,1.8249504546174304e-10,1.8249504546174304e-10
22.888160705437457,9.866904193585971e-11,9.866904193585971e-11
30.51754760724994,7.291386775917804e-11,7.291386775917804e-11
38.146934509062426,5.740006297668918e-11,5.740006297668918e-11
45.776321410874914,1.2062975217339664e-10,1.2062975217339664e-10
53.405708312687395,1.1069228858475067e-10,1.1069228858475067e-10
61.03509521449988,5.006527705307352e-11,5.006527705307352e-11
68.66448211631237,4.984178049013638e-11,4.984178049013638e-11
76.29386901812485,3.753977693105142e-11,3.753977693105142e-11
83.92325591993733,2.540093353270702e-11,2.540093353270702e-11
91.55264282174983,3.881577032407281e-11,3.881577032407281e-11
99.18202972356231,3.50712822177417e-11,3.50712822177417e-11
106.81141662537479,3.5738543393038354e-11,3.5738543393038354e-11
114.44080352718728,4.3497208936758504e-11,4.3497208936758504e-11
122.07019042899977,5.062952995187008e-11,5.062952995187008e-11
129.69957733081225,4.817062936541612e-11,4.817062936541612e-11
137.32896423262474,3.953189901049864e-11,3.953189901049864e-11
144.9583511344372,4.881271899020592e-11,4.881271899020592e-11
152.5877380362497,5.7181646963592896e-11,5.7181646963592896e-11
160.2171249380622,2.4434846501822175e-11,2.4434846501822175e-11
167.84651183987467,2.3496065128328816e-11,2.3496065128328816e-11
175.47589874168716,2.5479500485545786e-11,2.5479500485545786e-11
183.10528564349966,4.791229239807719e-11,4.791229239807719e-11
190.73467254531212,5.1566337515633453e-11,5.1566337515633453e-11
198.36405944712462,2.716112680481357e-11,2.716112680481357e-11
205.9934463489371,3.012084003417956e-11,3.012084003417956e-11
213.62283325074958,3.565073629045447e-11,3.565073629045447e-11
221.25222015256207,3.332871988826343e-11,3.332871988826343e-11
228.88160705437457,4.054636082742365e-11,4.054636082742365e-11
236.51099395618704,2.2789472131325522e-11,2.2789472131325522e-11
244.14038085799953,2.9284367710244805e-11,2.9284367710244805e-11
251.76976775981203,4.8103397364363635e-11,4.8103397364363635e-11
259.3991546616245,2.930619507870237e-11,2.930619507870237e-11
267.028541563437,2.2110482309053093e-11,2.2110482309053093e-11
274.6579284652495,2.9938105062948736e-11,2.9938105062948736e-11
282.287315367062,2.4962971607034147e-11,2.4962971607034147e-11
289.9167022688744,1.4077766766635914e-11,1.4077766766635914e-11
297.5460891706869,3.139840500088834e-11,3.139840500088834e-11
305.1754760724994,3.1194036298980756e-11,3.1194036298980756e-11
312.8048629743119,1.3654168250724935e-11,1.3654168250724935e-11
320.4342498761244,1.3199865087867285e-11,1.3199865087867285e-11
328.0636367779369,1.7119436560440962e-11,1.7119436560440962e-11
335.69302367974933,1.9773876681675182e-11,1.9773876681675182e-11
343.3224105815618,1.750844785682407e-11,1.750844785682407e-11
350.9517974833743,1.7768592920203508e-11,1.7768592920203508e-11
358.5811843851868,1.6135708162440016e-11,1.6135708162440016e-11
366.2105712869993,1.6313183197836308e-11,1.6313183197836308e-11
373.8399581888118,1.4213590116843342e-11,1.4213590116843342e-11
381.46934509062424,1.751054948185949e-11,1.751054948185949e-11
389.09873199243674,1.6694361456447613e-11,1.6694361456447613e-11
396.72811889424923,1.4637865819908308e-11,1.4637865819908308e-11
404.35750579606173,1.2978240765960014e-11,1.2978240765960014e-11
