scan_phase_rad,upper_port_abs_mean,lower_port_abs_mean,upper_port_norm_mean,upper_port_norm_std,lower_port_norm_mean,lower_port_norm_std,loss_mean
0.000000000000000000e+00,3.276939640662629438e-01,5.661610359337370113e-01,3.666075191907668951e-01,2.554398608407661420e-01,6.333924808092330494e-01,2.554398608407661420e-01,1.061450000000000587e-01
5.235987755982988295e-02,3.285217064724884062e-01,5.653332935275114934e-01,3.675335557472839132e-01,2.453003865868418898e-01,6.324664442527161423e-01,2.453003865868418898e-01,1.061450000000000726e-01
1.047197551196597659e-01,3.377578406677399503e-01,5.560971593322600048e-01,3.778664779720871114e-01,2.552348878735851145e-01,6.221335220279129441e-01,2.552348878735851145e-01,1.061450000000000726e-01
1.570796326794896558e-01,3.542095202775675244e-01,5.396454797224323752e-01,3.962717893590879670e-01,2.754861973273777243e-01,6.037282106409120885e-01,2.754861973273777243e-01,1.061450000000000587e-01
2.094395102393195318e-01,3.690771513991241704e-01,5.247778486008758403e-01,4.129049469982537524e-01,2.787203794368496301e-01,5.870950530017462476e-01,2.787203794368496301e-01,1.061450000000000587e-01
2.617993877991494078e-01,3.810889466000949022e-01,5.127660533999049974e-01,4.263431390998483894e-01,2.775999890171140794e-01,5.736568609001515551e-01,2.775999890171140794e-01,1.061450000000000726e-01
3.141592653589793116e-01,4.228428092289115980e-01,4.710121907710883571e-01,4.730552597780530166e-01,2.911067824310574759e-01,5.269447402219469279e-01,2.911067824310574759e-01,1.061450000000000726e-01
3.665191429188091599e-01,4.512559675415370730e-01,4.425990324584627711e-01,5.048424717001493978e-01,2.973965027008109163e-01,4.951575282998506022e-01,2.973965027008109163e-01,1.061450000000001004e-01
4.188790204786390636e-01,4.938210937218238117e-01,4.000339062781761434e-01,5.524621932212985254e-01,2.885229573674499282e-01,4.475378067787014746e-01,2.885229573674499282e-01,1.061450000000000726e-01
4.712388980384689674e-01,5.212261427705638939e-01,3.726288572294360613e-01,5.831215832216229966e-01,2.806465560342523702e-01,4.168784167783770034e-01,2.806465560342523702e-01,1.061450000000000726e-01
5.235987755982988157e-01,5.596949345916095719e-01,3.341600654083903832e-01,6.261585319672761107e-01,2.671825653935825939e-01,3.738414680327238893e-01,2.671825653935825939e-01,1.061450000000000726e-01
5.759586531581286639e-01,5.815870266446502290e-01,3.122679733553497261e-01,6.506503030633047358e-01,2.660616237740709988e-01,3.493496969366952642e-01,2.660616237740709988e-01,1.061450000000000865e-01
6.283185307179586232e-01,6.033936618832241860e-01,2.904613381167757691e-01,6.750464693750377609e-01,2.558331277450043295e-01,3.249535306249622391e-01,2.558331277450043295e-01,1.061450000000000726e-01
6.806784082777884715e-01,5.931449400475649059e-01,3.007100599524350493e-01,6.635807150461371373e-01,2.668786806359190744e-01,3.364192849538628627e-01,2.668786806359190744e-01,1.061450000000000726e-01
7.330382858376183197e-01,5.988802293907958818e-01,2.949747706092040733e-01,6.699970681942774009e-01,2.597502069614763820e-01,3.300029318057225991e-01,2.597502069614763820e-01,1.061450000000000726e-01
7.853981633974482790e-01,6.105089053467566140e-01,2.833460946532433411e-01,6.830066457610647346e-01,2.471404063635100345e-01,3.169933542389352654e-01,2.471404063635100345e-01,1.061450000000000587e-01
8.377580409572781273e-01,6.029650974083929915e-01,2.908899025916069636e-01,6.745670130036673928e-01,2.536314338061340656e-01,3.254329869963326072e-01,2.536314338061340656e-01,1.061450000000000726e-01
8.901179185171079755e-01,5.897899791874484654e-01,3.040650208125514897e-01,6.598273536395148353e-01,2.662443849630490855e-01,3.401726463604851647e-01,2.662443849630490855e-01,1.061450000000000865e-01
9.424777960769379348e-01,5.825805025168822038e-01,3.112744974831177514e-01,6.517617538827686907e-01,2.718077122108928378e-01,3.482382461172313093e-01,2.718077122108928378e-01,1.061450000000000726e-01
9.948376736367677831e-01,5.694917828179325570e-01,3.243632171820673982e-01,6.371187528379127496e-01,2.624888784095698591e-01,3.628812471620872504e-01,2.624888784095698591e-01,1.061450000000000726e-01
1.047197551196597631e+00,5.221332601984827182e-01,3.717217398015172369e-01,5.841364205586843106e-01,2.900795415649452536e-01,4.158635794413156894e-01,2.900795415649452536e-01,1.061450000000000726e-01
1.099557428756427591e+00,5.102928283678801469e-01,3.835621716321198083e-01,5.708899411737700103e-01,2.889227602200512002e-01,4.291100588262299897e-01,2.889227602200512002e-01,1.061450000000000726e-01
1.151917306316257328e+00,4.753338503339231691e-01,4.185211496660766750e-01,5.317795954980654161e-01,2.931850747857892570e-01,4.682204045019345839e-01,2.931850747857892570e-01,1.061450000000001004e-01
1.204277183876087287e+00,4.474270244325841972e-01,4.464279755674157579e-01,5.005588428017790914e-01,2.944662842116516632e-01,4.994411571982209086e-01,2.944662842116516632e-01,1.061450000000000726e-01
1.256637061435917246e+00,4.133756665252713569e-01,4.804793334747285982e-01,4.624638968571764264e-01,2.816028588665007160e-01,5.375361031428236291e-01,2.816028588665007160e-01,1.061450000000000865e-01
1.308996938995746984e+00,3.814705855516716815e-01,5.123844144483282737e-01,4.267700975568427535e-01,2.843074279414855576e-01,5.732299024431573020e-01,2.843074279414855576e-01,1.061450000000000865e-01
1.361356816555576943e+00,3.674775674481304266e-01,5.263774325518694175e-01,4.111154129563860948e-01,2.773606520681607401e-01,5.888845870436139052e-01,2.773606520681607401e-01,1.061450000000001004e-01
1.413716694115406902e+00,3.317136269052913256e-01,5.621413730947086851e-01,3.711045157271496420e-01,2.795964631737741790e-01,6.288954842728503580e-01,2.795964631737741790e-01,1.061450000000000726e-01
1.466076571675236639e+00,3.325408981523346186e-01,5.613141018476652810e-01,3.720300251744797504e-01,2.604567530414002019e-01,6.279699748255203051e-01,2.604567530414002019e-01,1.061450000000000587e-01
1.518436449235066599e+00,3.305137029576572516e-01,5.633412970423427035e-01,3.697621011882881170e-01,2.531231902140699264e-01,6.302378988117118830e-01,2.531231902140699264e-01,1.061450000000000726e-01
1.570796326794896558e+00,3.215790932260617629e-01,5.722759067739382477e-01,3.597665093623258481e-01,2.567228257862429475e-01,6.402334906376740964e-01,2.567228257862429475e-01,1.061450000000000449e-01
1.623156204354726295e+00,3.158061342603692978e-01,5.780488657396306573e-01,3.533080133359094432e-01,2.494811683207031616e-01,6.466919866640905568e-01,2.494811683207031616e-01,1.061450000000000726e-01
1.675516081914556255e+00,3.460415719957653513e-01,5.478134280042346038e-01,3.871338997888532085e-01,2.694894380801182709e-01,6.128661002111468470e-01,2.694894380801182709e-01,1.061450000000000726e-01
1.727875959474386214e+00,3.464858035909039735e-01,5.473691964090959816e-01,3.876308837461377999e-01,2.692987035736347790e-01,6.123691162538622557e-01,2.692987035736347790e-01,1.061450000000000587e-01
1.780235837034215951e+00,3.669682902768837129e-01,5.268867097231162422e-01,4.105456592812970484e-01,2.795076572331722797e-01,5.894543407187029516e-01,2.795076572331722797e-01,1.061450000000000726e-01
1.832595714594045910e+00,3.966301948041225378e-01,4.972248051958774173e-01,4.437299056380761830e-01,2.865713563901279848e-01,5.562700943619238725e-01,2.865713563901279848e-01,1.061450000000000726e-01
1.884955592153875870e+00,4.225724648695347585e-01,4.712825351304651966e-01,4.727528121110635695e-01,2.877883706951245846e-01,5.272471878889364305e-01,2.877883706951245846e-01,1.061450000000000726e-01
