0	0.0000	0.0000	0.0000	0.0000
1	0.0098	0.0970	0.0098	0.0098
2	0.0198	0.1151	0.0198	0.0198
3	0.0299	0.1263	0.0299	0.0299
4	0.0400	0.1346	0.0400	0.0400
5	0.0497	0.1410	0.0497	0.0497
6	0.0598	0.1465	0.0598	0.0598
7	0.0699	0.1517	0.0699	0.0699
8	0.0800	0.1572	0.0800	0.0800
9	0.0897	0.1611	0.0897	0.0897
10	0.0998	0.1639	0.0998	0.0998
11	0.1099	0.1663	0.1099	0.1099
12	0.1199	0.1691	0.1199	0.1199
13	0.1297	0.1718	0.1297	0.1297
14	0.1398	0.1743	0.1398	0.1398
15	0.1498	0.1770	0.1498	0.1498
16	0.1599	0.1797	0.1599	0.1599
17	0.1700	0.1813	0.1700	0.1700
18	0.1797	0.1828	0.1797	0.1797
19	0.1898	0.1846	0.1898	0.1898
20	0.1999	0.1862	0.1999	0.1999
21	0.2100	0.1877	0.2100	0.2100
22	0.2197	0.1892	0.2197	0.2197
23	0.2298	0.1910	0.2298	0.2298
24	0.2399	0.1926	0.2399	0.2399
25	0.2499	0.1941	0.2499	0.2499
26	0.2597	0.1959	0.2597	0.2597
27	0.2698	0.1974	0.2698	0.2698
28	0.2798	0.1990	0.2798	0.2798
29	0.2899	0.2002	0.2899	0.2899
30	0.3000	0.2014	0.3000	0.3000
31	0.3098	0.2023	0.3098	0.3098
32	0.3198	0.2032	0.3198	0.3198
33	0.3299	0.2042	0.3299	0.3299
34	0.3400	0.2054	0.3400	0.3400
35	0.3497	0.2063	0.3497	0.3497
36	0.3598	0.2072	0.3598	0.3598
37	0.3699	0.2081	0.3699	0.3699
38	0.3799	0.2094	0.3799	0.3799
39	0.3897	0.2103	0.3897	0.3897
40	0.3998	0.2112	0.3998	0.3998
41	0.4099	0.2121	0.4099	0.4099
42	0.4199	0.2130	0.4199	0.4199
43	0.4300	0.2142	0.4300	0.4300
44	0.4398	0.2151	0.4398	0.4398
45	0.4498	0.2161	0.4498	0.4498
46	0.4599	0.2173	0.4599	0.4599
47	0.4700	0.2182	0.4700	0.4700
48	0.4797	0.2191	0.4797	0.4797
49	0.4898	0.2200	0.4898	0.4898
50	0.4999	0.2206	0.4999	0.4999
51	0.5099	0.2216	0.5099	0.5099
52	0.5197	0.2222	0.5197	0.5197
53	0.5298	0.2231	0.5298	0.5298
54	0.5399	0.2237	0.5399	0.5399
55	0.5499	0.2243	0.5499	0.5499
56	0.5600	0.2249	0.5600	0.5600
57	0.5698	0.2258	0.5698	0.5698
58	0.5798	0.2264	0.5798	0.5798
59	0.5899	0.2274	0.5899	0.5899
60	0.6000	0.2280	0.6000	0.6000
61	0.6097	0.2286	0.6097	0.6097
62	0.6198	0.2295	0.6198	0.6198
63	0.6299	0.2301	0.6299	0.6299
64	0.6400	0.2307	0.6400	0.6400
65	0.6497	0.2316	0.6497	0.6497
66	0.6598	0.2322	0.6598	0.6598
67	0.6699	0.2328	0.6699	0.6699
68	0.6799	0.2338	0.6799	0.6799
69	0.6897	0.2344	0.6897	0.6897
70	0.6998	0.2353	0.6998	0.6998
71	0.7098	0.2359	0.7098	0.7098
72	0.7199	0.2365	0.7199	0.7199
73	0.7300	0.2371	0.7300	0.7300
74	0.7397	0.2380	0.7397	0.7397
75	0.7498	0.2386	0.7498	0.7498
76	0.7599	0.2396	0.7599	0.7599
77	0.7700	0.2402	0.7700	0.7700
78	0.7797	0.2405	0.7797	0.7797
