time_s,relative_deviation
6.400994,-0.0001375243948791741
12.409516999999969,-0.0002375531142146213
18.418039999999937,-0.00019773787971278173
24.426562999999906,-0.00010255013978674958
30.435085999999874,-0.00016761404556921072
36.44360899999984,-8.25338508077161e-05
42.45213199999981,-9.159434638865283e-05
48.460654999999775,-0.00020755820025598255
54.469177999999744,-0.00017740898930047557
60.47770099999971,-0.0001104051724823479
66.48622399999968,-0.00016705273589429507
72.49474699999965,-0.00017080587700453852
78.50326999999962,-0.00019509898746054475
84.51179299999959,-0.00012721793847387288
90.52031599999955,-5.1122787005627676e-05
96.52883899999952,-1.87821883913854e-05
102.53736199999949,-0.0001787142650895009
108.54588499999946,-8.105019731489914e-05
114.55440799999943,-0.00019825456235574325
120.5629309999994,-0.00025605987905454855
126.57145399999936,-7.982112363524151e-05
132.57997699999933,-0.00017435741456415962
138.5884999999993,-0.0001541199760679915
144.59702299999927,-0.00020545483407778233
150.60554599999924,-0.00018442386149182736
156.6140689999992,-9.454012378682718e-05
162.62259199999917,-7.133608336550559e-05
168.63111499999914,-7.120244096167767e-05
174.6396379999991,-6.0207500902935315e-05
180.64816099999908,-0.00019177887804075906
186.65668399999905,-0.00019214823254829592
192.66520699999901,-0.00015706312902490544
198.67372999999898,-6.495248602149476e-05
204.68225299999895,-6.128624223512917e-05
210.69077599999892,-2.048961922733623e-05
216.6992989999989,-7.403093307874676e-05
222.70782199999886,-0.0001408765028076738
228.71634499999882,-0.00010464682210815652
234.7248679999988,-0.00022716015750859296
240.73339099999876,-0.00013932168404838754
246.74191399999873,-0.00011958627793378909
252.7504369999987,-0.00012093966677326756
258.7589599999987,-0.00022724710968956657
264.76748299999866,-0.00018472880832029993
270.77600599999863,-0.00019870805492015783
276.7845289999986,-0.00012160383357817583
282.79305199999857,-0.0001521614840477713
288.80157499999854,-0.00022422001994945514
294.8100979999985,-0.00020737612489675326
300.8186209999985,-0.00018069245635754795
306.82714399999844,-7.580138385111939e-05
312.8356669999984,-0.00012957616835280629
318.8441899999984,-0.00013260781736380901
324.85271299999835,-0.00022619725217626856
330.8612359999983,-0.000137232626485277
336.8697589999983,-0.00022316219007857053
342.87828199999825,-0.00021813272948724885
348.8868049999982,-0.000246198700744937
354.8953279999982,-0.00020845314200231035
360.90385099999816,-0.00015994676942666507
366.9123739999981,-0.00018716022504315156
372.9208969999981,-0.0002475711050258742
378.92941999999806,-0.0002474217849575921
384.93794299999803,-0.00020307905239706555
390.946465999998,-0.00012532126588179674
396.95498899999797,-0.00025257258735375836
402.96351199999793,-0.00014606496569092252
408.9720349999979,-0.0001843396229311491
414.98055799999787,-0.00012120232795564746
420.98908099999784,-0.0001260033553360592
426.9976039999978,-0.00013392485714487163
433.0061269999978,-0.00020656257698975006
439.01464999999774,-0.00015899042938674222
445.0231729999977,-0.0002467780066409696
451.0316959999977,-0.0001693458913664893
457.04021899999765,-0.00027682774049689877
463.0487419999976,-0.0002240125457893939
469.0572649999976,-0.00018660720618715544
475.06578799999755,-0.0001262744122518573
481.0743109999975,-0.0001504486750185012
487.0828339999975,-0.00027512137054436345
493.09135699999746,-0.00010659850249466182
499.0998799999974,-0.00011846969532351471
505.1084029999974,-0.0001258503687632873
511.11692599999736,-0.0002467588027274357
517.1254489999973,-0.00010469752286738988
523.1339719999972,-0.0002972603941088476
529.1424949999972,-0.0002868338654643787
535.1510179999972,-0.0001755742742557623
541.1595409999971,-0.00022171055546749545
547.1680639999971,-0.0001693978331059917
553.1765869999971,-0.000204043752668935
559.185109999997,-0.00023840014712701822
565.193632999997,-0.00023922173788492245
571.202155999997,-0.0002799633425174303
577.210678999997,-0.00024560446355080805
583.2192019999969,-0.00018484297830642077
589.2277249999969,-0.0002669911977308636
595.2362479999969,-0.00032548754078628534
601.2447709999968,-0.0002240111722789958
607.2532939999968,-0.0002651738958344175
613.2618169999968,-0.00022924353047118191
619.2703399999967,-0.00028262842956690764
625.2788629999967,-0.00015430269475332718
631.2873859999967,-0.00014097958026424513
637.2959089999966,-0.0003153880827833963
643.3044319999966,-0.00021561245360897998
649.3129549999966,-0.00027189355473017173
655.3214779999965,-0.0003448257665242932
661.3300009999965,-0.0002358977168022882
667.3385239999965,-0.00024864795663970377
673.3470469999965,-0.0002873499907320975
679.3555699999964,-0.0002288200921812472
685.3640929999964,-0.0002668610547480282
691.3726159999964,-0.00021844791248637932
697.3811389999963,-0.00019129223361826015
703.3896619999963,-0.0002007562197539612
709.3981849999963,-0.00015871540171697487
715.4067079999962,-0.0001864198668383507
721.4152309999962,-0.00016746216759929632
727.4237539999962,-0.00015682414725391565
733.4322769999961,-0.00018565131182438226
739.4407999999961,-0.00016936978235934926
745.4493229999961,-0.00016601910352072142
751.457845999996,-0.0001142745569982626
757.466368999996,-0.00014509967548090292
763.474891999996,-0.00014629990077626002
769.483414999996,-0.0001986457901600827
775.4919379999959,-0.00023555161743325494
781.5004609999959,-0.0002314715568853034
787.5089839999958,-0.00015492251778102578
793.5175069999958,-0.0002173648041962644
799.5260299999958,-0.00019175716643514285
805.5345529999958,-0.0002822776757179596
811.5430759999957,-0.00012611391125283758
817.5515989999957,-0.0002118144607392019
823.5601219999957,-0.00011706300979637041
829.5686449999956,-0.00010155528527289341
835.5771679999956,-0.0001976387209282361
841.5856909999956,-0.00019466036891061937
847.5942139999955,-0.0001949169823713287
853.6027369999955,-8.08972475620171e-05
859.6112599999955,-0.00012057414794442184
865.6197829999954,-0.00019590722381951844
871.6283059999954,-0.0001440577899327745
877.6368289999954,-0.00015947200632031801
883.6453519999953,-0.00015077108393414152
889.6538749999953,-0.00020489923000339922
895.6623979999953,-0.00012802856549099182
901.6709209999952,-0.00010819244004186746
907.6794439999952,-0.00013753471850477052
913.6879669999952,-0.00023553572881131947
919.6964899999952,-0.00018472929560662304
925.7050129999951,-0.00015849606442555183
931.7135359999951,-0.00012250418432654665
937.722058999995,-7.1760943534508e-05
943.730581999995,-0.00024375064400181465
949.739104999995,-0.00011798631918856324
955.747627999995,-0.00011668034163510321
961.7561509999949,-7.582636804204719e-05
967.7646739999949,-0.00010811602549817895
973.7731969999949,-0.00020292551370176286
979.7817199999948,-7.067203284420804e-05
985.7902429999948,-0.00021412688015759476
991.7987659999948,-0.00012194224488087821
997.8072889999947,-0.00021407253633123102
1003.8158119999947,-0.00010118465949925366
1009.8243349999947,-0.00020295945009730964
1015.8328579999946,-0.00016981287543564217
1021.8413809999946,-0.00028923993763747233
1027.8499039999947,-0.00022867952331825347
1033.8584269999947,-0.0002046418887265889
1039.8669499999946,-0.00014041707797958375
1045.8754729999946,-0.00020229129339213497
1051.8839959999946,-0.00018513824895022025
1057.8925189999945,-0.00027518265340049686
1063.9010419999945,-0.00022985974424135134
1069.9095649999945,-0.00023502014089502678
1075.9180879999944,-0.0002444775428265952
1081.9266109999944,-0.00018066831567799163
1087.9351339999944,-0.00015464432681863233
1093.9436569999943,-0.00022748492300455917
1099.9521799999943,-0.0002812113656430549
1105.9607029999943,-0.00015306397510011138
1111.9692259999943,-0.00023856077383450013
1117.9777489999942,-0.00019189888678580784
1123.9862719999942,-0.0001628610228323566
1129.9947949999942,-0.00015258922019744615
1136.0033179999941,-0.00018164341565729135
1142.011840999994,-0.0001271572770874192
1148.020363999994,-0.00012936939923739767
1154.028886999994,-0.00018556371110309045
1160.037409999994,-0.00017621431130590535
1166.045932999994,-7.38040559489409e-05
1172.054455999994,-0.00010937663514830516
1178.062978999994,-0.00024421609973069084
1184.0715019999939,-0.0001621619804037316
1190.0800249999938,-0.00013067033748508658
1196.0885479999938,-9.52706678472981e-05
1202.0970709999938,-0.00016964995602367569
1208.1055939999937,-0.000204800298533363
1214.1141169999937,-0.00028228564389428073
1220.1226399999937,-0.00017480271165186035
1226.1311629999936,-0.00015400925473491752
1232.1396859999936,-0.00014493827047926667
1238.1482089999936,-0.0002153159736293749
1244.1567319999936,-0.000188106964613485
1250.1652549999935,-0.000231392672831617
1256.1737779999935,-0.00023095353295162895
1262.1823009999935,-0.000292498639738073
1268.1908239999934,-0.00020695516410489714
1274.1993469999934,-0.00019346168256462835
1280.2078699999934,-0.0001757550939178033
1286.2163929999933,-0.00017943284870105836
1292.2249159999933,-0.0002498124805458603
1298.2334389999933,-0.0002685500739575721
1304.2419619999932,-0.00021915826953372916
1310.2504849999932,-0.00021622531845091547
1316.2590079999932,-0.00019520529207332044
1322.2675309999931,-0.00018900554019316687
1328.276053999993,-0.0002057055087744122
1334.284576999993,-0.00019901908421916475
1340.293099999993,-0.00011428087218288957
1346.301622999993,-0.00013768631647506196
1352.310145999993,-0.00013808310264144124
1358.318668999993,-0.00017440763745864166
1364.327191999993,-0.00012310092547281897
1370.335714999993,-9.93217439878528e-05
1376.3442379999929,-5.596933464097902e-05
1382.3527609999928,-0.00011687575410224828
1388.3612839999928,-8.224621625567674e-05
1394.3698069999928,-0.00018002836304640386
1400.3783299999927,-0.00022856487927647807
1406.3868529999927,-0.00012615361581061766
1412.3953759999927,-6.196419047531403e-05
1418.4038989999926,-0.00017523128495010526
1424.4124219999926,-0.00011653155192789232
1430.4209449999926,-9.94548160618302e-05
1436.4294679999925,-7.445853310551e-05
1442.4379909999925,-0.00011739478407222403
1448.4465139999925,-0.0001978353035911601
1454.4550369999924,-0.00012004940144826687
1460.4635599999924,-0.00022358167578820368
1466.4720829999924,-0.0001816802711916758
1472.4806059999923,-0.00013596549170160547
1478.4891289999923,-0.0002061040456609914
1484.4976519999923,-0.00027485699151326307
1490.5061749999923,-0.00024674515287347184
1496.5146979999922,-0.00018713113285484415
1502.5232209999922,-0.0001384850195023961
1508.5317439999922,-0.00018053589634470536
1514.5402669999921,-0.00020211702909571545
1520.548789999992,-0.00019163075975496907
1526.557312999992,-0.00012059383916110486
1532.565835999992,-0.00019397517590949773
1538.574358999992,-0.0002100718607810247
1544.582881999992,-0.00021174040455069893
1550.591404999992,-0.0001085198178948762
1556.599927999992,-0.0001936215438361706
1562.6084509999919,-0.00015807947219222736
1568.6169739999918,-0.00012831010062285062
1574.6254969999918,-0.0002329011874155027
1580.6340199999918,-0.0002069970527580689
1586.6425429999917,-0.0002475711050258742
1592.6510659999917,-0.00023801412329299323
1598.6595889999917,-0.0001779969508437045
1604.6681119999917,-0.00018944162246046868
1610.6766349999916,-0.0001770066029924839
1616.6851579999916,-0.00020052642558956803
1622.6936809999916,-0.00017094573012424162
1628.7022039999915,-0.00026150046579260486
1634.7107269999915,-0.00020487021409926567
1640.7192499999915,-0.00028757025342198713
1646.7277729999914,-0.00022183892829679336
1652.7362959999914,-0.00018761241018548807
1658.7448189999914,-0.00020916796666680854
1664.7533419999913,-0.0002251218074566545
1670.7618649999913,-0.0001984117533033283
1676.7703879999913,-0.00021092518094828502
1682.7789109999912,-0.0002657661583727296
1688.7874339999912,-0.00015715177639879436
1694.7959569999912,-0.00023715361640172408
1700.8044799999911,-0.00021686926905483775
1706.813002999991,-0.00021342300108131797
1712.821525999991,-0.00020207120323837053
1718.830048999991,-0.00024915373546232375
