time_s,value
6.400994,835893664.0
12.412472,835809998.0
18.41912,835843331.0
24.416105,835922998.0
30.420129,835868331.0
36.421111,835939664.0
42.435553,835932331.0
48.432531,835834998.0
54.435062,835859998.0
60.436333,835916664.0
66.446305,835868998.0
72.449739,835865998.0
78.446752,835844998.0
84.453858,835901664.0
90.47028,835965664.0
96.496372,835993664.0
102.496516,835858664.0
108.497828,835941664.0
114.501754,835843331.0
120.513247,835793331.0
126.514534,835942664.0
132.509529,835862664.0
138.514064,835880331.0
144.521645,835836664.0
150.516529,835853331.0
156.532042,835929331.0
162.54656,835948998.0
168.558082,835948998.0
174.658862,835958331.0
180.66497,835847998.0
186.668287,835847998.0
192.665524,835877331.0
198.66624,835954331.0
204.670239,835957331.0
210.669553,835991664.0
216.672372,835946998.0
222.669999,835890664.0
228.667433,835921998.0
234.665613,835817998.0
240.67452,835891998.0
246.67721,835908664.0
252.696897,835908331.0
258.704946,835818331.0
264.705842,835854331.0
270.698343,835841664.0
276.698702,835907331.0
282.704399,835882331.0
288.720949,835820998.0
294.734328,835834998.0
300.735436,835856331.0
306.73076,835945998.0
312.735384,835900331.0
318.75309,835898998.0
324.75846,835818331.0
330.771559,835894998.0
336.777014,835821998.0
342.782094,835826664.0
348.794835,835802331.0
354.794096,835833664.0
360.794529,835875331.0
366.893034,835852331.0
372.905329,835801664.0
378.90914,835801664.0
384.920057,835838664.0
390.920459,835904331.0
396.922473,835796998.0
402.93748,835886664.0
408.949959,835854331.0
414.948101,835907331.0
420.955569,835903331.0
426.965843,835896998.0
432.964294,835835664.0
438.965427,835876331.0
444.96313,835801664.0
450.970173,835867998.0
456.966829,835776664.0
462.978787,835820998.0
468.983359,835851998.0
474.98295,835903331.0
480.992181,835884331.0
487.00022,835776664.0
493.003961,835919664.0
499.002853,835909664.0
504.99969,835905331.0
511.003143,835799998.0
517.019578,835923998.0
523.026544,835759998.0
529.0269,835766998.0
535.030457,835862664.0
541.033445,835822331.0
547.033921,835867664.0
553.051446,835838664.0
559.061623,835809331.0
565.076983,835809331.0
571.077642,835773998.0
577.099828,835802331.0
583.112444,835855331.0
589.1221,835786331.0
