time_s,value
6.400994,835893664.0
12.409516999999969,835810039.1268294
18.418039999999937,835843325.0067006
24.426562999999906,835922902.7792803
30.435085999999874,835868508.7921815
36.44360899999984,835939636.5697191
42.45213199999981,835932061.9171708
48.460654999999775,835835115.1339223
54.469177999999744,835860320.1346371
60.47770099999971,835916335.904114
66.48622399999968,835868978.051917
72.49474699999965,835865840.3935382
78.50326999999962,835845531.1434119
84.51179299999959,835902280.2865571
90.52031599999955,835965896.4903104
96.52883899999952,835992933.5100318
102.53736199999949,835859228.9128057
108.54588499999946,835940876.9168513
114.55440799999943,835842893.0555493
120.5629309999994,835794567.3116065
126.57145399999936,835941904.4330612
132.57997699999933,835862871.2774688
138.5884999999993,835879789.9508137
144.59702299999927,835836873.5662111
150.60554599999924,835854455.6409076
156.6140689999992,835929599.2218274
162.62259199999917,835948998.0
168.63111499999914,835949109.7262037
174.6396379999991,835958301.5910405
180.64816099999908,835848306.7835579
186.65668399999905,835847998.0
192.66520699999901,835877329.4495258
198.67372999999898,835954334.7425057
204.68225299999895,835957399.7539712
210.69077599999892,835991506.0831083
216.6992989999989,835946745.0823681
222.70782199999886,835890861.6088244
228.71634499999882,835921149.9347535
234.7248679999988,835818727.7283849
240.73339099999876,835892161.4507339
246.74191399999873,835908660.4206724
252.7504369999987,835907528.9759153
258.7589599999987,835818655.0356107
264.76748299999866,835854200.7027256
270.77600599999863,835842513.9318492
276.7845289999986,835906973.726731
282.79305199999857,835881427.2670553
288.80157499999854,835821185.7087741
294.8100979999985,835835267.350495
300.8186209999985,835857575.1278228
306.82714399999844,835945264.9702336
312.8356669999984,835900308.7860136
318.8441899999984,835897774.3012604
324.85271299999835,835819532.7255579
330.8612359999983,835893907.9208969
336.8697589999983,835822070.0636811
342.87828199999825,835826274.7361678
348.8868049999982,835802811.3418304
354.8953279999982,835834366.9548941
360.90385099999816,835874918.701248
366.9123739999981,835852168.0173486
372.9208969999981,835801664.0
378.92941999999806,835801788.8328665
384.93794299999803,835838859.7402124
390.946465999998,835903865.9212229
396.95498899999797,835797482.7175832
402.96351199999793,835886524.0090486
408.9720349999979,835854526.0650718
414.98055799999787,835907309.3888986
420.98908099999784,835903295.6885489
426.9976039999978,835896673.24463
433.0061269999978,835835947.4835707
439.01464999999774,835875718.20978
445.0231729999977,835802327.0370986
451.0316959999977,835867060.9541395
457.04021899999765,835777205.2000982
463.0487419999976,835821359.1589636
469.0572649999976,835852630.3458879
475.06578799999755,835903069.0826266
481.0743109999975,835882859.1901948
487.0828339999975,835778631.740114
493.09135699999746,835919518.3130965
499.0998799999974,835909593.893377
505.1084029999974,835903423.5866449
511.11692599999736,835802343.0917362
517.1254489999973,835921107.548481
523.1339719999972,835760123.3252307
529.1424949999972,835768839.9932166
535.1510179999972,835861853.9722583
541.1595409999971,835823283.6427517
547.1680639999971,835867017.5303967
553.1765869999971,835838053.2424544
559.185109999997,835809331.0
565.193632999997,835808644.1430315
571.202155999997,835774583.8097312
577.210678999997,835803308.1292562
583.2192019999969,835854105.2556313
589.2277249999969,835785428.6347948
595.2362479999969,835736525.1868505
601.2447709999968,835821360.3072301
607.2532939999968,835786947.9148737
613.2618169999968,835816986.010597
619.2703399999967,835772355.7739433
625.2788629999967,835879637.1964148
