Parameter,atoms_UP_Fit,atoms_UP_Fit_Std,atoms_DW_Fit,atoms_DW_Fit_Std,atoms_UP_Raw,atoms_UP_Raw_Std,atoms_DW_Raw,atoms_DW_Raw_Std,amp_UP_Fit,amp_UP_Fit_Std,amp_DW_Fit,amp_DW_Fit_Std,amp_UP_Raw,amp_UP_Raw_Std,amp_DW_Raw,amp_DW_Raw_Std,sigma_UP_Fit,sigma_UP_Fit_Std,sigma_DW_Fit,sigma_DW_Fit_Std,sigma_UP_Raw,sigma_UP_Raw_Std,sigma_DW_Raw,sigma_DW_Raw_Std,temp_UP_Fit,temp_UP_Fit_Std,temp_DW_Fit,temp_DW_Fit_Std,temp_UP_Raw,temp_UP_Raw_Std,temp_DW_Raw,temp_DW_Raw_Std,arrival_UP_Fit,arrival_UP_Fit_Std,arrival_DW_Fit,arrival_DW_Fit_Std,arrival_UP_Raw,arrival_UP_Raw_Std,arrival_DW_Raw,arrival_DW_Raw_Std,prob_UP_Fit,prob_UP_Fit_Std,prob_DW_Fit,prob_DW_Fit_Std,prob_UP_Raw,prob_UP_Raw_Std,prob_DW_Raw,prob_DW_Raw_Std
262,1954.6062,6919.0453,614905.4561,66545.2685,-9364.2409,7352.7134,627887.7358,67806.3658,0.0004,0.0001,0.0072,0.0007,0.0005,0.0001,0.0075,0.0007,2.1335,2.6502,4.6003,0.0809,6.4710,0.7312,4.5552,0.3228,2.1561,0.5732,4.5281,0.1586,8.9399,2.0293,4.4533,0.6297,0.8008,0.0003,0.8039,0.0001,0.7997,0.0012,0.8036,0.0003,0.2224,1.0536,99.7776,1.0536,-1.6209,1.2915,101.6209,1.2915
264,5447.8104,7012.6297,604913.3729,61603.2514,-6294.3688,12337.5911,617734.1411,62498.0862,0.0004,0.0001,0.0070,0.0006,0.0004,0.0001,0.0074,0.0006,2.1725,2.9896,4.6171,0.0637,6.4710,1.2004,4.3849,0.1166,2.5154,0.4704,4.5597,0.1264,9.0899,3.2622,4.1127,0.2162,0.8007,0.0002,0.8038,0.0001,0.7997,0.0007,0.8036,0.0002,0.8130,1.0791,99.1870,1.0791,-1.2117,2.1537,101.2117,2.1537
266,4626.9986,3432.1869,610440.6641,31280.0129,-7544.4843,8789.8155,626006.8080,30504.1461,0.0004,0.0000,0.0072,0.0004,0.0005,0.0001,0.0075,0.0004,3.4124,0.3684,4.5847,0.0311,5.5769,0.6629,4.3424,0.3562,2.4919,0.5565,4.4963,0.0615,6.6534,1.6019,4.0540,0.6760,0.8008,0.0002,0.8038,0.0001,0.8002,0.0010,0.8038,0.0003,0.7682,0.6001,99.2318,0.6001,-1.1982,1.4241,101.1982,1.4241
268,1229.5638,4323.7800,616766.0528,43557.3223,-9886.8433,7928.1399,630396.8695,43036.8695,0.0004,0.0000,0.0072,0.0005,0.0004,0.0001,0.0076,0.0005,2.0150,2.6915,4.6061,0.0590,7.0244,0.8105,4.2146,0.0952,2.0885,0.4871,4.5389,0.1153,10.5374,2.3792,3.8022,0.1679,0.8006,0.0004,0.8039,0.0001,0.7997,0.0011,0.8039,0.0002,0.2006,0.7135,99.7994,0.7135,-1.5772,1.1903,101.5772,1.1903
270,6950.3938,9570.2240,569524.8827,32916.0090,-1830.0345,9706.6579,581743.0420,32631.0613,0.0004,0.0001,0.0067,0.0003,0.0004,0.0000,0.0070,0.0004,2.4745,2.7609,4.5557,0.0546,6.4284,1.0363,4.2998,0.0952,2.5921,0.9794,4.4401,0.1065,8.9036,2.8406,3.9549,0.1753,0.8009,0.0002,0.8039,0.0000,0.7995,0.0013,0.8037,0.0002,1.1968,1.5611,98.8032,1.5611,-0.3604,1.5853,100.3604,1.5853
272,10117.7913,8973.6497,608626.2464,57752.1761,752.6785,12903.8787,621074.9772,58049.2021,0.0004,0.0001,0.0071,0.0006,0.0005,0.0001,0.0074,0.0006,3.6369,0.7268,4.6241,0.0459,5.8537,1.0059,4.4169,0.3635,2.8876,1.1362,4.5746,0.0913,7.3985,2.3521,4.1934,0.6932,0.8007,0.0002,0.8039,0.0001,0.7998,0.0011,0.8038,0.0004,1.5483,1.2486,98.4517,1.2486,-0.0119,2.0714,100.0119,2.0714
274,10870.2063,4263.8227,604023.0349,59825.1357,3240.8855,7259.3332,618063.9255,59792.4691,0.0004,0.0001,0.0071,0.0007,0.0005,0.0001,0.0074,0.0007,3.8349,0.4037,4.6012,0.0390,6.1730,0.8105,4.3849,0.2427,3.1450,0.6594,4.5288,0.0762,8.1684,2.0117,4.1215,0.4500,0.8008,0.0001,0.8038,0.0002,0.8001,0.0009,0.8037,0.0002,1.7532,0.5815,98.2468,0.5815,0.4763,1.1310,99.5237,1.1310
276,11561.0133,3175.8081,653983.7456,55434.3144,2282.2849,4456.3412,666227.3124,57627.3487,0.0005,0.0000,0.0076,0.0006,0.0005,0.0000,0.0080,0.0007,3.6349,0.2171,4.6279,0.0469,5.9601,0.7576,4.4169,0.2678,2.8065,0.3426,4.5801,0.0924,7.5984,1.8204,4.1825,0.4951,0.8005,0.0004,0.8037,0.0001,0.7998,0.0005,0.8037,0.0002,1.7673,0.5947,98.2327,0.5947,0.3686,0.6920,99.6314,0.6920
278,4349.8249,8493.7721,627357.3472,64605.3366,-7572.3941,15462.4103,640452.1667,64181.8210,0.0004,0.0001,0.0073,0.0007,0.0005,0.0001,0.0077,0.0007,3.0687,0.5431,4.5930,0.0858,5.4492,1.2466,4.3424,0.3867,2.0442,0.7269,4.5136,0.1693,6.5431,3.1242,4.0583,0.7198,0.8004,0.0004,0.8038,0.0001,0.8001,0.0004,0.8038,0.0004,0.6275,1.1915,99.3725,1.1915,-1.3359,2.3135,101.3359,2.3135
280,7367.1459,5952.1012,587076.2274,65696.4454,-8014.0912,11003.5671,600106.7168,69069.7562,0.0005,0.0001,0.0069,0.0007,0.0005,0.0001,0.0072,0.0007,3.1658,0.4333,4.5866,0.0327,5.7898,1.1203,4.4275,0.2775,2.1548,0.5970,4.4989,0.0639,7.2922,2.6703,4.2040,0.5379,0.8004,0.0004,0.8037,0.0001,0.7997,0.0009,0.8037,0.0004,1.1755,0.8125,98.8245,0.8125,-1.5289,1.8515,101.5289,1.8515
