=== FIT PARAMETERS ===
Baseline (Offset),1.6037730873791256
Name,Amplitude,Center,Width (Sigma),Area
-hk(bragg transfered),18.45659858175338,-747.4990319251717,8.724338488695167,403.62132891795983
+hk,16.526178690811925,-715.7264333881357,9.48994015761084,393.12064555297854

=== CURVE DATA ===
X_Mapped,Y_Raw,Y_Fit_Total,Y_-hk(bragg transfered),Y_+hk
-826.0,0.2224,1.6037730873791256,1.6037730873791256,1.6037730873791256
-824.0,0.813,1.603773087379126,1.603773087379126,1.6037730873791256
-822.0,0.7682,1.6037730873791283,1.6037730873791283,1.6037730873791256
-820.0,0.2006,1.6037730873791443,1.6037730873791443,1.6037730873791256
-818.0,1.1968,1.6037730873792475,1.6037730873792475,1.6037730873791256
-816.0,1.5483,1.6037730873798828,1.6037730873798828,1.6037730873791256
-814.0,1.7532,1.603773087383587,1.603773087383587,1.6037730873791256
-812.0,1.7673,1.6037730874040683,1.6037730874040683,1.6037730873791256
-810.0,0.6275,1.6037730875114364,1.6037730875114364,1.6037730873791256
-808.0,1.1755,1.6037730880450487,1.6037730880450487,1.6037730873791256
-806.0,1.3569,1.6037730905591439,1.6037730905591439,1.6037730873791256
-804.0,0.7833,1.6037731017873953,1.6037731017873953,1.6037730873791256
-802.0,1.1783,1.6037731493190532,1.6037731493190532,1.6037730873791256
-800.0,1.4533,1.6037733400215093,1.603773340021509,1.6037730873791258
-798.0,1.7431,1.603774065107868,1.6037740651078671,1.6037730873791265
-796.0,0.7233,1.603776677484617,1.603776677484612,1.6037730873791305
-794.0,1.3259,1.6037855949419555,1.6037855949419275,1.6037730873791536
-792.0,1.1033,1.6038144316018867,1.6038144316017315,1.6037730873792808
-790.0,2.0538,1.6039027556222272,1.6039027556214014,1.6037730873799514
-788.0,2.271,1.604158946772623,1.6041589467684203,1.6037730873833282
-786.0,3.6888,1.6048625220311923,1.6048625220107313,1.6037730873995866
-784.0,3.1414,1.6066915218779267,1.606691521782637,1.6037730874744154
-782.0,3.4662,1.6111908917582671,1.6111908913337674,1.6037730878036254
-780.0,5.7632,1.621661733191408,1.6216617313824875,1.6037730891880462
-778.0,4.3082,1.6447044521182974,1.6447044447448234,1.6037730947525997
-776.0,5.3709,1.692634183978398,1.6926341552285555,1.6037731161289681
-774.0,5.3683,1.7868121649897146,1.786812057761409,1.6037731946074312
-772.0,4.1616,1.9615009108994603,1.9615005283442897,1.6037734699342963
-770.0,4.6062,2.2671165562100684,2.2671152506725116,1.6037743929166823
-768.0,4.6425,2.7708546037994597,2.770850341977294,1.6037773492012914
-766.0,4.2489,3.5520075857662037,3.551994277792363,1.6037863953529663
-764.0,5.3104,4.6895119515022605,4.689472201311812,1.6038128375695744
-762.0,5.3965,6.240976864884453,6.240863291347857,1.6038866609157212
-760.0,7.1696,8.215799145033715,8.21548874215091,1.6040834902619299
-758.0,10.2854,10.549154164889746,10.548342671469108,1.6045845807997638
-756.0,13.0186,13.08684643038294,13.084817089892901,1.6058024278691636
-754.0,15.2481,15.590971119204264,15.586116719878142,1.6086274867052475
-752.0,17.2756,17.771675918592592,17.760568152198463,1.6148808537732566
-750.0,19.6002,19.341697092412456,19.317384647370975,1.6280855324206052
-748.0,19.9159,20.080871247478598,20.02996850318244,1.6546758316752828
-746.0,20.2756,19.891872549337634,19.78992790444528,1.7057177322714823
-744.0,19.3762,18.829389038177457,18.634090812107527,1.799071313449057
-742.0,17.9003,17.09313281375143,16.735248354334214,1.9616575467963435
-740.0,14.8432,14.98716290729902,14.359830038882784,2.2311059557953605
-738.0,12.6541,12.858656826834073,11.806782378891015,2.655647535322183
-736.0,10.6604,11.03400545794609,9.346906998519012,3.2908715468062035
-734.0,9.7612,9.76762608997441,7.179248608331921,4.192150569021615
-732.0,8.2711,9.211501383101172,5.412884820334204,5.402389650146094
-730.0,8.8763,9.405430956355351,4.0728929096958675,6.936311134038609
-728.0,9.6162,10.283012929558737,3.122351687156983,8.76443432978088
-726.0,12.0778,11.687705430514036,2.489926756647187,10.801551761245975
-724.0,13.3965,13.39557776771701,2.094406883407966,12.90494397168817
-722.0,14.934,15.14385339956587,1.8615135095515312,14.886112977393466
-720.0,18.1749,16.66487113197531,1.7322379232306333,16.5364062961238
-718.0,18.2844,17.7231692261962,1.6645253773104103,17.662416936264915
-716.0,18.0851,18.1503460935106,1.6310325753416497,18.123086605548075
-714.0,17.4828,17.870333726657808,1.6153782008359414,17.85872861320099
-712.0,16.7781,16.908418675089603,1.6084607650639284,16.9037309974048
-710.0,14.4115,15.381005453824262,1.605569651616614,15.379208889586774
-708.0,13.9678,13.468425850651151,1.604426374976481,13.467772563053796
-706.0,10.8067,11.377890824723284,1.6039984815765962,11.377665430525813
-704.0,9.1215,9.3060442516963,1.6038468706161948,9.30597046845923
-702.0,7.5793,7.409734051149256,1.6037960039342476,7.409711134594134
