Parameter,atoms_UP_Fit,atoms_UP_Fit_Std,atoms_DW_Fit,atoms_DW_Fit_Std,atoms_UP_Raw,atoms_UP_Raw_Std,atoms_DW_Raw,atoms_DW_Raw_Std,amp_UP_Fit,amp_UP_Fit_Std,amp_DW_Fit,amp_DW_Fit_Std,amp_UP_Raw,amp_UP_Raw_Std,amp_DW_Raw,amp_DW_Raw_Std,sigma_UP_Fit,sigma_UP_Fit_Std,sigma_DW_Fit,sigma_DW_Fit_Std,sigma_UP_Raw,sigma_UP_Raw_Std,sigma_DW_Raw,sigma_DW_Raw_Std,temp_UP_Fit,temp_UP_Fit_Std,temp_DW_Fit,temp_DW_Fit_Std,temp_UP_Raw,temp_UP_Raw_Std,temp_DW_Raw,temp_DW_Raw_Std,arrival_UP_Fit,arrival_UP_Fit_Std,arrival_DW_Fit,arrival_DW_Fit_Std,arrival_UP_Raw,arrival_UP_Raw_Std,arrival_DW_Raw,arrival_DW_Raw_Std,prob_UP_Fit,prob_UP_Fit_Std,prob_DW_Fit,prob_DW_Fit_Std,prob_UP_Raw,prob_UP_Raw_Std,prob_DW_Raw,prob_DW_Raw_Std
416,7094.9810,8715.0545,577076.6237,30461.1912,-6787.5818,11429.0439,591459.7093,31228.5650,0.0004,0.0001,0.0068,0.0004,0.0005,0.0001,0.0072,0.0005,3.3478,0.4939,4.5382,0.0423,5.9601,0.6561,4.3424,0.1904,2.4159,0.7222,4.4050,0.0824,7.5922,1.6349,4.0375,0.3599,0.8006,0.0002,0.8038,0.0001,0.8004,0.0015,0.8037,0.0003,1.1893,1.4995,98.8107,1.4995,-1.1988,2.0313,101.1988,2.0313
418,4909.2173,10498.3024,614523.8456,54623.5430,-612.3424,12313.1453,626571.2698,54688.9499,0.0004,0.0001,0.0072,0.0006,0.0005,0.0001,0.0075,0.0006,2.1556,2.6855,4.6001,0.0476,5.2364,0.7465,4.4275,0.1781,2.2054,0.9752,4.5261,0.0947,5.8890,1.6432,4.1959,0.3373,0.8003,0.0002,0.8038,0.0001,0.7997,0.0005,0.8036,0.0002,0.7123,1.7151,99.2877,1.7151,-0.1994,2.0300,100.1994,2.0300
420,4397.2111,6919.0324,612008.7012,37630.0127,-6894.6359,11076.2040,625142.9702,37459.0051,0.0004,0.0001,0.0071,0.0004,0.0005,0.0001,0.0075,0.0004,3.1763,0.4192,4.6077,0.0542,6.1730,0.7526,4.3849,0.3228,2.1666,0.5662,4.5405,0.1075,8.1492,1.8397,4.1289,0.5783,0.8004,0.0003,0.8037,0.0001,0.7998,0.0005,0.8037,0.0004,0.6844,1.1099,99.3156,1.1099,-1.1629,1.7996,101.1629,1.7996
422,8500.9850,5653.1902,657948.9851,54765.6381,-2459.3247,10221.9399,670449.0326,55618.9852,0.0005,0.0001,0.0077,0.0006,0.0006,0.0001,0.0080,0.0006,3.1713,0.2769,4.6177,0.0593,5.4067,1.1522,4.2998,0.2332,2.1415,0.3628,4.5613,0.1162,6.3956,2.4368,3.9631,0.4353,0.8002,0.0003,0.8038,0.0001,0.7995,0.0011,0.8038,0.0003,1.2549,0.8336,98.7451,0.8336,-0.4449,1.6484,100.4449,1.6484
424,4145.8608,4699.2704,615246.6430,30406.2114,-8309.2172,7638.4930,629227.4431,28568.3757,0.0004,0.0001,0.0072,0.0003,0.0005,0.0001,0.0076,0.0003,3.0508,0.2509,4.5687,0.0422,5.8749,1.1423,4.1721,0.2427,1.9825,0.3198,4.4645,0.0828,7.4990,2.8106,3.7335,0.4268,0.8006,0.0001,0.8038,0.0001,0.7993,0.0010,0.8039,0.0004,0.6749,0.7855,99.3251,0.7855,-1.3539,1.2593,101.3539,1.2593
426,8591.6111,7025.5485,640097.4326,31287.0021,-2964.6696,13211.2890,655809.3977,30095.2010,0.0005,0.0000,0.0075,0.0003,0.0005,0.0000,0.0079,0.0003,3.3956,0.6595,4.6008,0.0393,5.6195,0.9106,4.2146,0.1781,2.5167,0.9943,4.5269,0.0778,6.8123,2.0501,3.8050,0.3231,0.8005,0.0002,0.8037,0.0001,0.7997,0.0004,0.8038,0.0001,1.3235,1.1035,98.6765,1.1035,-0.4866,2.0521,100.4866,2.0521
428,7630.2051,4147.1633,605006.3836,64405.7180,-4998.4469,8842.6603,617148.9441,65398.1216,0.0005,0.0001,0.0071,0.0007,0.0005,0.0001,0.0074,0.0007,3.3170,0.4063,4.5942,0.0604,5.7047,1.3580,4.2146,0.2775,2.3591,0.5792,4.5150,0.1180,7.1793,2.8679,3.8129,0.5134,0.8006,0.0002,0.8038,0.0001,0.7994,0.0009,0.8039,0.0004,1.2830,0.7609,98.7170,0.7609,-0.7779,1.4664,100.7779,1.4664
430,14572.2308,10324.6095,625076.0629,24921.0852,6615.4268,12134.5819,640823.7454,26101.3181,0.0005,0.0001,0.0073,0.0002,0.0006,0.0001,0.0077,0.0003,3.6272,0.6829,4.5909,0.0580,5.6195,0.4149,4.3424,0.2427,2.8661,0.9571,4.5091,0.1121,6.7025,0.9928,4.0422,0.4539,0.8005,0.0003,0.8039,0.0002,0.7997,0.0009,0.8037,0.0001,2.2105,1.5455,97.7895,1.5455,0.9345,1.8613,99.0655,1.8613
432,2860.1338,3345.0601,610093.2135,36847.9956,-9097.2197,7259.8387,622380.7835,37188.6518,0.0004,0.0000,0.0072,0.0004,0.0005,0.0001,0.0076,0.0004,3.1732,0.4314,4.5813,0.0483,5.9601,1.0958,4.2146,0.0952,2.1666,0.5633,4.4918,0.0955,7.7078,2.6097,3.8033,0.1686,0.8008,0.0002,0.8040,0.0001,0.7997,0.0004,0.8040,0.0001,0.4735,0.5634,99.5265,0.5634,-1.4905,1.2130,101.4905,1.2130
434,8273.7870,10488.4965,677607.1470,45999.1057,-457.8847,14582.5299,691773.0641,46229.7343,0.0004,0.0001,0.0079,0.0005,0.0005,0.0001,0.0084,0.0005,3.7558,0.4268,4.5988,0.0473,6.2581,1.6253,4.4701,0.1505,3.0232,0.6887,4.5251,0.0931,8.7406,4.3632,4.2760,0.2867,0.8010,0.0002,0.8039,0.0001,0.8005,0.0008,0.8037,0.0001,1.1521,1.4475,98.8479,1.4475,-0.1572,2.0506,100.1572,2.0506
436,3916.0876,6348.1917,615940.1784,78822.8315,-7441.6304,9133.5120,629198.3113,77332.0206,0.0004,0.0000,0.0072,0.0008,0.0004,0.0000,0.0076,0.0008,3.1057,0.7446,4.5636,0.0623,4.7361,1.0190,4.3104,0.5862,2.1329,0.9491,4.4547,0.1227,4.9155,2.0713,4.0259,1.0638,0.8007,0.0003,0.8038,0.0001,0.8006,0.0006,0.8036,0.0005,0.5834,0.9903,99.4166,0.9903,-1.3110,1.5317,101.3110,1.5317
438,1550.5280,6924.3502,654778.3613,46015.5474,-10284.5791,13277.9224,667665.7360,46527.4527,0.0004,0.0001,0.0077,0.0005,0.0004,0.0001,0.0080,0.0005,3.3698,0.2834,4.5571,0.0407,5.6408,1.1594,4.1508,0.2129,2.4222,0.4182,4.4416,0.0794,6.9545,2.8202,3.6922,0.3663,0.8011,0.0006,0.8038,0.0001,0.8008,0.0013,0.8038,0.0002,0.1919,0.9938,99.8081,0.9938,-1.6655,1.9920,101.6655,1.9920
440,6445.2632,4371.8107,637730.5036,39607.0085,870.4854,8755.7232,650933.1145,38622.0378,0.0004,0.0000,0.0074,0.0004,0.0005,0.0000,0.0079,0.0004,3.7816,0.5271,4.6088,0.0288,5.3215,1.0097,4.4275,0.1781,3.0802,0.8971,4.5431,0.0560,6.1736,2.2745,4.1959,0.3373,0.8009,0.0002,0.8038,0.0001,0.8008,0.0010,0.8036,0.0003,1.0140,0.6743,98.9860,0.6743,0.1447,1.2886,99.8553,1.2886
442,-89.7630,3722.6448,602269.3049,43690.8076,-13566.8445,6656.4026,616434.3622,44224.9685,0.0003,0.0001,0.0071,0.0005,0.0004,0.0000,0.0074,0.0005,2.0143,2.8116,4.5476,0.0606,6.4284,1.0253,4.2998,0.2775,2.2010,0.3571,4.4241,0.1201,8.9163,2.9284,3.9664,0.5135,0.8008,0.0001,0.8038,0.0002,0.8001,0.0011,0.8037,0.0003,-0.0191,0.6197,100.0191,0.6197,-2.2526,1.1266,102.2526,1.1266
444,7578.0621,4285.3534,637795.2916,68131.4916,-2389.4290,10151.8786,650714.9412,70826.3355,0.0005,0.0001,0.0074,0.0007,0.0005,0.0001,0.0078,0.0008,3.3924,0.4145,4.6181,0.0939,4.1295,1.0707,4.3424,0.2856,2.4673,0.6139,4.5623,0.1835,3.8035,1.9867,4.0453,0.5269,0.8006,0.0003,0.8038,0.0001,0.8006,0.0009,0.8037,0.0002,1.1306,0.5488,98.8694,0.5488,-0.5031,1.5678,100.5031,1.5678
446,3667.8087,2762.9459,633022.6932,60725.3256,-11838.6119,4571.0638,646161.6016,59049.7924,0.0004,0.0000,0.0074,0.0006,0.0004,0.0000,0.0078,0.0006,3.2368,0.2541,4.5972,0.0604,5.2789,1.7319,4.4701,0.0000,2.2318,0.3607,4.5211,0.1189,6.4077,3.9713,4.2709,0.0014,0.8008,0.0003,0.8038,0.0001,0.8010,0.0015,0.8036,0.0001,0.6003,0.4879,99.3997,0.4879,-1.8543,0.6743,101.8543,0.6743
448,1818.6756,4488.0787,601253.7884,30260.9167,-9408.6047,8003.9155,614156.2348,31166.1397,0.0004,0.0001,0.0071,0.0004,0.0004,0.0001,0.0074,0.0003,3.3001,0.3231,4.5414,0.0584,4.8106,0.8189,4.4275,0.1781,2.3263,0.4550,4.4121,0.1156,5.0167,1.7024,4.1952,0.3363,0.8007,0.0004,0.8038,0.0001,0.8005,0.0007,0.8036,0.0003,0.2864,0.7277,99.7136,0.7277,-1.5816,1.3520,101.5816,1.3520
450,8022.5901,5796.0430,639137.0218,50975.0428,-3456.7461,11212.3813,652559.8233,53818.6785,0.0005,0.0001,0.0075,0.0005,0.0005,0.0001,0.0078,0.0006,3.4416,0.4373,4.5929,0.0468,6.1730,1.2860,4.3424,0.3867,2.5426,0.6429,4.5122,0.0924,8.3214,3.4191,4.0571,0.7198,0.8006,0.0003,0.8038,0.0001,0.7994,0.0006,0.8037,0.0004,1.2067,0.8604,98.7933,0.8604,-0.6439,1.8462,100.6439,1.8462
