Parameter,atoms_UP_Fit,atoms_UP_Fit_Std,atoms_DW_Fit,atoms_DW_Fit_Std,atoms_UP_Raw,atoms_UP_Raw_Std,atoms_DW_Raw,atoms_DW_Raw_Std,amp_UP_Fit,amp_UP_Fit_Std,amp_DW_Fit,amp_DW_Fit_Std,amp_UP_Raw,amp_UP_Raw_Std,amp_DW_Raw,amp_DW_Raw_Std,sigma_UP_Fit,sigma_UP_Fit_Std,sigma_DW_Fit,sigma_DW_Fit_Std,sigma_UP_Raw,sigma_UP_Raw_Std,sigma_DW_Raw,sigma_DW_Raw_Std,temp_UP_Fit,temp_UP_Fit_Std,temp_DW_Fit,temp_DW_Fit_Std,temp_UP_Raw,temp_UP_Raw_Std,temp_DW_Raw,temp_DW_Raw_Std,arrival_UP_Fit,arrival_UP_Fit_Std,arrival_DW_Fit,arrival_DW_Fit_Std,arrival_UP_Raw,arrival_UP_Raw_Std,arrival_DW_Raw,arrival_DW_Raw_Std,prob_UP_Fit,prob_UP_Fit_Std,prob_DW_Fit,prob_DW_Fit_Std,prob_UP_Raw,prob_UP_Raw_Std,prob_DW_Raw,prob_DW_Raw_Std
413,88050.9342,13339.6118,584031.3133,28512.6425,77796.6327,12538.9228,587252.1005,28171.4353,0.0018,0.0003,0.0062,0.0003,0.0017,0.0003,0.0064,0.0004,2.6962,0.0868,5.0344,0.0923,3.1503,0.3157,5.0235,0.2427,1.5352,0.1005,5.4243,0.1996,2.1096,0.4251,5.4070,0.5163,0.7992,0.0001,0.8039,0.0001,0.7990,0.0003,0.8038,0.0002,13.0707,1.5676,86.9293,1.5676,11.6681,1.5171,88.3319,1.5171
415,109167.2201,16466.9637,567179.5219,17375.4457,98112.1483,16530.6491,568694.4129,16742.9892,0.0022,0.0003,0.0059,0.0002,0.0022,0.0003,0.0060,0.0001,2.6675,0.0739,5.1920,0.1111,3.2993,0.2748,5.1086,0.0000,1.5024,0.0832,5.7704,0.2472,2.3065,0.3806,5.5853,0.0024,0.7992,0.0001,0.8040,0.0001,0.7989,0.0003,0.8040,0.0001,16.0872,1.6868,83.9128,1.6868,14.6644,1.8910,85.3356,1.8910
417,142540.5450,13375.8872,541623.2437,28373.8763,127358.7120,18923.4760,535271.0800,30505.2833,0.0029,0.0002,0.0053,0.0002,0.0029,0.0003,0.0053,0.0002,2.6762,0.0903,5.4738,0.0462,3.2781,0.4414,5.5769,0.2332,1.5117,0.1016,6.4095,0.1086,2.2971,0.6132,6.6617,0.5598,0.7990,0.0001,0.8038,0.0001,0.7988,0.0004,0.8038,0.0003,20.8025,0.7861,79.1975,0.7861,19.1394,1.5199,80.8606,1.5199
419,174373.6505,15112.8387,512518.9129,34625.9186,168049.0966,17574.4695,504559.8063,35062.6503,0.0034,0.0002,0.0048,0.0003,0.0033,0.0002,0.0047,0.0004,2.7884,0.0815,5.7881,0.0496,3.1078,0.2856,6.0452,0.3562,1.6409,0.0956,7.1698,0.1216,2.0495,0.3744,7.8380,0.9312,0.7990,0.0001,0.8040,0.0001,0.7989,0.0004,0.8038,0.0003,25.3637,0.3868,74.6363,0.3868,24.9411,0.7710,75.0589,0.7710
421,214513.6703,15258.1897,500784.2749,24905.4198,206252.2483,22761.2970,487210.7462,25004.6923,0.0041,0.0002,0.0044,0.0002,0.0040,0.0001,0.0042,0.0002,2.8392,0.0952,6.0928,0.1016,3.3632,0.4362,6.3858,0.3366,1.7017,0.1147,7.9466,0.2628,2.4155,0.6259,8.7422,0.9073,0.7991,0.0001,0.8040,0.0001,0.7988,0.0004,0.8039,0.0005,29.9765,1.0406,70.0235,1.0406,29.6879,1.7368,70.3121,1.7368
423,230903.2502,18600.0657,480465.3588,19436.5468,217337.2094,27411.6633,469320.5052,19948.4115,0.0044,0.0002,0.0041,0.0001,0.0043,0.0003,0.0039,0.0001,2.8448,0.0964,6.2397,0.1137,3.1929,0.3366,6.7264,0.2856,1.7088,0.1159,8.3360,0.3049,2.1695,0.4522,9.6912,0.8373,0.7991,0.0001,0.8041,0.0002,0.7991,0.0003,0.8038,0.0003,32.4221,0.9121,67.5779,0.9121,31.5543,1.8710,68.4457,1.8710
425,252055.7584,18568.9853,456091.0003,22061.4842,239478.3352,23247.9209,439441.0188,19819.9687,0.0046,0.0003,0.0038,0.0001,0.0046,0.0003,0.0036,0.0002,2.9197,0.0840,6.4523,0.0755,3.3206,0.3228,6.9818,0.3498,1.7996,0.1045,8.9153,0.2095,2.3431,0.4460,10.4485,1.0093,0.7991,0.0001,0.8042,0.0000,0.7991,0.0003,0.8039,0.0003,35.5671,0.6057,64.4329,0.6057,35.2160,1.2341,64.7840,1.2341
427,268901.7041,11884.4379,459231.2932,21254.7481,255352.3038,15047.4355,442168.6708,20560.4458,0.0048,0.0002,0.0038,0.0002,0.0047,0.0002,0.0036,0.0001,2.9994,0.0423,6.5670,0.0661,3.1078,0.3562,7.2373,0.1505,1.8986,0.0537,9.2338,0.1876,2.0606,0.4480,11.2024,0.4600,0.7992,0.0001,0.8042,0.0001,0.7995,0.0005,0.8037,0.0002,36.9329,0.4277,63.0671,0.4277,36.5990,0.7259,63.4010,0.7259
429,250741.2331,12943.8606,445903.0417,23044.2575,232097.4703,16081.0185,429178.1958,21383.7417,0.0045,0.0002,0.0038,0.0002,0.0043,0.0002,0.0037,0.0003,3.0233,0.0655,6.3806,0.0947,3.3206,0.2427,7.1095,0.4414,1.9290,0.0848,8.7158,0.2577,2.3372,0.3347,10.8360,1.2946,0.7991,0.0001,0.8041,0.0001,0.7993,0.0004,0.8036,0.0004,35.9973,0.9119,64.0027,0.9119,35.0825,0.9310,64.9175,0.9310
431,241420.9955,21009.9328,447778.6776,28168.6545,229977.1748,22666.4543,433786.4935,29733.5010,0.0041,0.0003,0.0038,0.0002,0.0040,0.0003,0.0040,0.0002,3.1346,0.0278,6.3022,0.0914,3.4483,0.4094,6.6838,0.1904,2.0725,0.0365,8.4996,0.2465,2.5370,0.6055,9.5560,0.5326,0.7990,0.0001,0.8039,0.0001,0.7992,0.0005,0.8036,0.0003,34.9964,0.7653,65.0036,0.7653,34.6041,1.1233,65.3959,1.1233
433,224524.2651,10427.9467,477613.3641,32443.9092,209009.2791,8773.4146,469441.7951,32013.9787,0.0038,0.0002,0.0043,0.0003,0.0036,0.0002,0.0047,0.0004,3.2126,0.0476,5.9486,0.0867,3.5335,0.3562,6.2155,0.0952,2.1781,0.0654,7.5743,0.2215,2.6570,0.5100,8.2615,0.2549,0.7992,0.0001,0.8040,0.0000,0.7994,0.0006,0.8037,0.0001,32.0054,1.0244,67.9946,1.0244,30.8376,0.9800,69.1624,0.9800
435,195340.9045,10959.1959,495749.7092,53392.7866,183634.0878,15296.0454,496490.6783,53632.0729,0.0031,0.0001,0.0047,0.0006,0.0029,0.0001,0.0053,0.0006,3.3603,0.0749,5.6199,0.1138,3.8847,0.7650,5.4812,0.3193,2.3832,0.1051,6.7585,0.2712,3.2750,1.1443,6.4409,0.7412,0.7992,0.0001,0.8039,0.0001,0.7992,0.0009,0.8038,0.0003,28.3586,1.8401,71.6414,1.8401,27.0615,1.6568,72.9385,1.6568
437,161752.1399,11139.9129,521711.6849,25192.7413,150320.2947,14137.8747,524813.5454,25458.0778,0.0025,0.0001,0.0053,0.0003,0.0024,0.0001,0.0059,0.0003,3.4220,0.0945,5.3139,0.0470,3.4058,1.0958,5.0661,0.2775,2.4733,0.1378,6.0417,0.1073,2.6516,1.8684,5.5028,0.6166,0.7993,0.0001,0.8039,0.0000,0.8000,0.0011,0.8038,0.0001,23.6589,0.8749,76.3411,0.8749,22.2422,1.2413,77.7578,1.2413
439,122541.2004,9589.3434,532847.4685,46231.7464,105928.1195,14645.7118,539367.8867,48049.9332,0.0019,0.0001,0.0057,0.0005,0.0018,0.0001,0.0062,0.0006,3.4291,0.0831,5.0291,0.0892,3.4058,0.3687,4.6829,0.2607,2.4839,0.1198,5.4122,0.1923,2.4780,0.5600,4.7014,0.5071,0.7994,0.0002,0.8039,0.0001,0.8003,0.0005,0.8038,0.0003,18.7255,1.0520,81.2745,1.0520,16.4124,1.7505,83.5876,1.7505
441,102266.5328,4771.9403,594390.6986,46003.3020,92236.3339,5379.3274,606842.0509,48767.8743,0.0015,0.0001,0.0066,0.0006,0.0015,0.0000,0.0072,0.0006,3.6673,0.0860,4.8757,0.0689,3.8741,0.6963,4.5552,0.1904,2.8424,0.1334,5.0852,0.1436,3.2568,1.1633,4.4413,0.3795,0.7996,0.0001,0.8038,0.0001,0.8003,0.0008,0.8036,0.0002,14.7243,1.0291,85.2757,1.0291,13.2330,0.9450,86.7670,0.9450
443,85181.2165,18335.6938,617023.7851,49860.3885,73057.6134,22374.8974,630607.9353,49974.5039,0.0013,0.0002,0.0069,0.0005,0.0012,0.0002,0.0075,0.0006,3.6135,0.2224,4.7791,0.0998,4.0443,0.6206,4.3849,0.1904,2.7687,0.3418,4.8880,0.2049,3.5248,0.9703,4.1188,0.3609,0.7998,0.0001,0.8039,0.0001,0.8001,0.0006,0.8038,0.0002,12.0462,1.7416,87.9538,1.7416,10.2674,2.4379,89.7326,2.4379
445,69834.8872,11903.2894,607499.1903,42715.9559,60176.4975,16006.3160,621784.2402,44361.7513,0.0010,0.0001,0.0069,0.0004,0.0010,0.0001,0.0074,0.0005,3.6654,0.2295,4.7333,0.0757,4.0018,0.8955,4.4275,0.2775,2.8504,0.3680,4.7946,0.1545,3.5253,1.6868,4.2054,0.5186,0.8000,0.0002,0.8039,0.0001,0.8005,0.0008,0.8038,0.0003,10.2591,0.9092,89.7409,0.9092,8.7374,1.5283,91.2626,1.5283
447,49673.5342,8208.4084,600994.6280,30090.9578,35564.8053,11716.9812,611288.1262,32508.9028,0.0008,0.0001,0.0069,0.0003,0.0008,0.0001,0.0072,0.0004,3.4104,0.2316,4.6975,0.0452,4.7681,0.2427,4.2998,0.4094,2.4691,0.3350,4.7196,0.0891,4.8102,0.4901,3.9821,0.7175,0.8000,0.0002,0.8038,0.0001,0.7994,0.0005,0.8038,0.0004,7.5986,0.8236,92.4014,0.8236,5.4261,1.4533,94.5739,1.4533
449,56694.0036,12108.9464,641180.8440,29611.6615,49817.9366,15697.4092,653391.8905,28990.6737,0.0009,0.0001,0.0073,0.0003,0.0009,0.0002,0.0076,0.0004,3.4422,0.3796,4.7489,0.0514,4.0869,0.4854,4.5126,0.1781,2.5298,0.5742,4.8237,0.1034,3.5695,0.8179,4.3587,0.3416,0.7999,0.0002,0.8038,0.0001,0.7999,0.0011,0.8036,0.0000,8.0820,1.3762,91.9180,1.3762,7.0112,1.8565,92.9888,1.8565
451,57383.9289,8178.3811,639544.6036,21309.6084,50078.4867,9659.3902,649762.3259,25412.7027,0.0009,0.0001,0.0072,0.0002,0.0010,0.0001,0.0075,0.0003,3.3491,0.3226,4.7636,0.0114,4.5978,0.4414,4.4701,0.2129,2.3895,0.4702,4.8536,0.0240,4.4931,0.8467,4.2817,0.4056,0.7999,0.0001,0.8038,0.0001,0.7992,0.0005,0.8038,0.0002,8.2258,1.0729,91.7742,1.0729,7.1412,1.2669,92.8588,1.2669
453,44766.2620,4900.9108,598541.8405,32586.2900,34228.8150,9007.6058,606498.9529,33266.2398,0.0008,0.0000,0.0068,0.0004,0.0009,0.0001,0.0071,0.0004,2.9327,0.2349,4.7470,0.0174,4.0018,0.6798,4.6404,0.2332,1.8275,0.2816,4.8211,0.0347,3.4604,1.1648,4.6138,0.4657,0.7998,0.0002,0.8039,0.0001,0.7996,0.0005,0.8037,0.0001,6.9457,0.4424,93.0543,0.4424,5.3020,1.1714,94.6980,1.1714
455,56291.5199,8841.2803,648867.5417,28155.9238,54442.8416,14278.9879,660859.6198,28249.6492,0.0009,0.0000,0.0072,0.0003,0.0010,0.0001,0.0076,0.0003,3.4388,0.4912,4.8201,0.0660,4.3424,0.5945,4.8106,0.4149,2.5416,0.7370,4.9709,0.1353,4.0426,1.1605,4.9745,0.8309,0.7999,0.0002,0.8039,0.0001,0.7995,0.0005,0.8035,0.0005,7.9517,0.8501,92.0483,0.8501,7.5512,1.6126,92.4488,1.6126
457,53892.4695,16685.6962,617872.1153,49047.4528,45221.7870,22869.0058,627661.8022,50144.9193,0.0010,0.0002,0.0069,0.0005,0.0010,0.0003,0.0072,0.0005,2.9450,0.3052,4.7981,0.0947,3.7251,0.5632,4.6829,0.1738,1.8471,0.3804,4.9256,0.1958,2.9787,0.8566,4.6937,0.3468,0.7996,0.0002,0.8038,0.0000,0.7993,0.0004,0.8037,0.0001,7.9554,1.9219,92.0446,1.9219,6.5854,2.7920,93.4146,2.7920
459,54848.9469,8811.6847,655942.2376,38332.8689,46706.2397,15833.8544,666360.6218,38925.1372,0.0009,0.0001,0.0074,0.0005,0.0010,0.0001,0.0078,0.0004,3.2092,0.3196,4.7680,0.0526,4.3849,0.9824,4.5126,0.1781,2.1951,0.4503,4.8621,0.1076,4.2193,1.8007,4.3592,0.3395,0.7999,0.0003,0.8037,0.0001,0.7994,0.0008,0.8037,0.0002,7.7052,1.0893,92.2948,1.0893,6.4807,2.0020,93.5193,2.0020
461,50909.6060,17667.4691,660978.7435,27399.9388,40459.1774,24682.1125,672852.0989,27640.0347,0.0008,0.0002,0.0075,0.0003,0.0009,0.0002,0.0079,0.0002,3.2801,0.4246,4.7135,0.0518,4.4701,0.8514,4.6404,0.2775,2.3071,0.5997,4.7534,0.1047,4.3407,1.5165,4.6169,0.5438,0.8001,0.0001,0.8039,0.0001,0.7996,0.0008,0.8037,0.0002,7.0648,2.0301,92.9352,2.0301,5.5255,3.0309,94.4745,3.0309
463,42723.6378,5288.6228,633605.0604,19143.0106,32859.9045,8504.0294,646403.9740,21611.5650,0.0007,0.0001,0.0073,0.0002,0.0007,0.0001,0.0077,0.0003,3.2805,0.2104,4.6935,0.0271,4.7255,0.3808,4.4701,0.3366,2.2838,0.2999,4.7107,0.0535,4.7434,0.7622,4.2910,0.6390,0.8000,0.0002,0.8037,0.0001,0.7997,0.0003,0.8037,0.0004,6.3019,0.5678,93.6981,0.5678,4.8045,1.0580,95.1955,1.0580
465,37481.7519,4737.5887,646172.0277,21981.1926,24790.2300,10503.4992,655027.7456,21437.7326,0.0006,0.0001,0.0074,0.0003,0.0007,0.0001,0.0077,0.0003,3.1415,0.1459,4.6838,0.0472,4.7255,1.1101,4.2572,0.1505,2.0917,0.1926,4.6924,0.0955,4.9285,2.0662,3.8816,0.2733,0.8001,0.0002,0.8038,0.0001,0.7999,0.0007,0.8039,0.0001,5.4861,0.7091,94.5139,0.7091,3.6359,1.5237,96.3641,1.5237
467,43382.2571,8875.5628,641258.9750,48489.5509,36907.4294,10340.1380,653342.2645,50782.8740,0.0006,0.0001,0.0074,0.0005,0.0007,0.0001,0.0078,0.0007,3.7342,0.3731,4.6724,0.0418,4.8532,0.7734,4.2146,0.0952,2.9765,0.5600,4.6704,0.0832,5.0813,1.5600,3.8033,0.1686,0.8004,0.0002,0.8039,0.0001,0.8001,0.0010,0.8040,0.0001,6.2937,0.9679,93.7063,0.9679,5.2692,1.1779,94.7308,1.1779
469,41066.4157,4288.4353,664005.7680,30152.7195,33491.0546,5968.2005,678086.2043,30415.7024,0.0006,0.0000,0.0077,0.0004,0.0006,0.0000,0.0080,0.0004,3.8009,0.1300,4.6501,0.0446,5.4918,1.1600,4.2146,0.2775,3.0630,0.2072,4.6252,0.0889,6.6010,2.6898,3.8124,0.5137,0.8005,0.0002,0.8038,0.0001,0.8000,0.0011,0.8038,0.0003,5.8355,0.6920,94.1645,0.6920,4.7225,0.9313,95.2775,0.9313
471,35754.8754,7386.5137,645881.3657,47382.5943,28822.4122,11512.3393,660385.9799,48637.5829,0.0005,0.0001,0.0075,0.0005,0.0006,0.0001,0.0079,0.0005,3.6781,0.3871,4.6562,0.0546,5.0235,0.9824,4.4701,0.3366,2.8911,0.5867,4.6374,0.1068,5.4995,2.1374,4.2897,0.6376,0.8005,0.0002,0.8038,0.0002,0.7999,0.0002,0.8036,0.0005,5.2220,0.9037,94.7780,0.9037,4.1365,1.6084,95.8635,1.6084
473,30843.4799,7506.2456,627813.7386,39273.5169,20198.5724,11781.4363,640361.1828,43885.2522,0.0005,0.0001,0.0073,0.0004,0.0005,0.0001,0.0077,0.0005,3.4312,0.3836,4.6370,0.0330,4.6829,1.1852,4.3849,0.1904,2.5195,0.5617,4.5982,0.0663,4.8817,2.3673,4.1177,0.3619,0.8006,0.0002,0.8038,0.0001,0.8007,0.0009,0.8037,0.0001,4.6519,0.8930,95.3481,0.8930,2.9818,1.5588,97.0182,1.5588
475,40746.5445,4195.5216,684247.9465,28374.7003,35623.5729,4599.7689,699404.2281,28061.7502,0.0006,0.0001,0.0079,0.0004,0.0006,0.0001,0.0083,0.0004,3.9222,0.3106,4.6706,0.0356,5.1938,0.4414,4.3849,0.1166,3.2768,0.5119,4.6670,0.0718,5.7452,0.9926,4.1151,0.2171,0.8007,0.0003,0.8039,0.0001,0.8003,0.0011,0.8038,0.0001,5.6410,0.7797,94.3590,0.7797,4.8605,0.7517,95.1395,0.7517
477,24836.5026,6433.8596,620671.4096,43641.1693,8789.4335,7918.8216,632876.9107,40875.0632,0.0005,0.0001,0.0072,0.0005,0.0005,0.0001,0.0075,0.0005,2.8778,0.2018,4.6341,0.0340,5.9175,0.3498,4.3849,0.3562,1.7605,0.2442,4.5925,0.0677,7.4190,0.8718,4.1327,0.6460,0.8004,0.0002,0.8037,0.0000,0.7997,0.0006,0.8037,0.0004,3.8068,0.6729,96.1932,0.6729,1.3072,1.1247,98.6928,1.1247
479,32775.3942,6261.5361,662006.3567,24963.3873,20168.2515,11392.8131,676330.8998,27213.2107,0.0005,0.0001,0.0077,0.0002,0.0006,0.0001,0.0080,0.0003,3.2415,0.2912,4.6467,0.0394,5.5344,1.3208,4.1721,0.3562,2.2387,0.4085,4.6182,0.0784,6.7510,2.9678,3.7450,0.6409,0.8003,0.0002,0.8038,0.0001,0.7991,0.0009,0.8039,0.0003,4.6950,0.6961,95.3050,0.6961,2.8385,1.4622,97.1615,1.4622
481,29122.0672,6776.3397,635733.4168,31166.2076,12397.2085,12470.5041,649929.5309,31035.6534,0.0005,0.0001,0.0074,0.0004,0.0005,0.0000,0.0078,0.0004,3.1049,0.2936,4.6205,0.0308,5.8324,1.5540,4.5552,0.2856,2.0556,0.4026,4.5672,0.0604,7.5881,3.7917,4.4495,0.5516,0.8003,0.0003,0.8039,0.0001,0.7997,0.0009,0.8036,0.0003,4.4134,1.2052,95.5866,1.2052,1.9052,1.9677,98.0948,1.9677
483,35010.3811,11956.5798,654987.0882,48839.8770,22821.9667,17311.6960,667319.3472,52750.1313,0.0005,0.0001,0.0076,0.0005,0.0006,0.0001,0.0079,0.0006,3.4199,0.6151,4.6462,0.0136,5.5344,1.4437,4.4275,0.1781,2.5420,0.8896,4.6178,0.0274,6.8219,3.0345,4.1970,0.3360,0.8005,0.0003,0.8039,0.0001,0.7998,0.0009,0.8037,0.0003,4.9887,1.3586,95.0113,1.3586,3.1350,2.2756,96.8650,2.2756
